yy,mm,dd,hh,mi,ss,seq,theTime,logID,clientIP,requestor,server,dbname,access,elapsed,busy,rows,statement,error,errorMessage,isvisible
2020,6,16,11,32,34,2431728548,6/16/2020 11:32:35 AM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.25,0.06,1,"SELECT count(G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.Class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .093 and .111 AND G.PetroRad_u between 1 and 2",0,,1
2020,6,16,11,31,52,2431728565,6/16/2020 11:31:53 AM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.183,0.047,1,"SELECT count(G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.Class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .093 and .111 AND G.PetroRad_u between 0 and 1",0,,1
2020,6,16,11,30,50,2431728594,6/16/2020 11:30:51 AM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.713,0.215,1,"SELECT count(G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.Class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .093 and .111 ",0,,1
2020,6,16,11,27,53,2431728656,6/16/2020 11:27:54 AM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,3.213,0.762,1,"SELECT count(G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.Class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .077 and .093 AND G.PetroRad_u between 18 and 19",0,,1
2020,6,15,18,5,6,2431733086,6/15/2020 6:05:06 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.233,0.055,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .061 and .077 AND G.PetroRad_u between 21 and 22 ",0,,1
2020,6,15,18,4,28,2431733089,6/15/2020 6:04:28 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.25,0.062,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .061 and .077 AND G.PetroRad_u between 20 and 21 ",0,,1
2020,6,15,18,3,32,2431733091,6/15/2020 6:03:32 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.723,0.213,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .061 and .077 AND G.PetroRad_u between 19 and 20 ",0,,1
2020,6,15,18,2,36,2431733093,6/15/2020 6:02:37 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.19,0.038,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .044 and .061 AND G.PetroRad_u between 21 and 22 ",0,,1
2020,6,15,18,2,6,2431733097,6/15/2020 6:02:07 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.173,0.042,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .044 and .061 AND G.PetroRad_u between 20 and 21 ",0,,1
2020,6,15,18,1,48,2431733098,6/15/2020 6:01:48 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.61,0.144,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .044 and .061 AND G.PetroRad_u between 19 and 20 ",0,,1
2020,6,15,17,59,46,2431733106,6/15/2020 5:59:46 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.183,0.033,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .03 and .044 AND G.PetroRad_u between 22 and 23 ",0,,1
2020,6,15,17,59,16,2431733107,6/15/2020 5:59:16 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.183,0.046,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .03 and .044 AND G.PetroRad_u between 21 and 22 ",0,,1
2020,6,15,17,58,41,2431733109,6/15/2020 5:58:41 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.026,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .03 and .044 AND G.PetroRad_u between 20 and 21 ",0,,1
2020,6,15,17,58,23,2431733110,6/15/2020 5:58:24 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.643,0.102,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .03 and .044 AND G.PetroRad_u between 19 and 20 ",0,,1
2020,6,15,17,57,17,2431733115,6/15/2020 5:57:18 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.19,0.035,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 24 and 25 ",0,,1
2020,6,15,17,56,16,2431733116,6/15/2020 5:56:17 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.183,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 23 and 24 ",0,,1
2020,6,15,17,55,38,2431733130,6/15/2020 5:55:38 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.17,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 22 and 23 ",0,,1
2020,6,15,17,54,27,2431733142,6/15/2020 5:54:28 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.173,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 21 and 22 ",0,,1
2020,6,15,17,54,0,2431733143,6/15/2020 5:54:00 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.193,0.018,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 20 and 21 ",0,,1
2020,6,15,17,53,34,2431733145,6/15/2020 5:53:34 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.018,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 19 and 20 ",0,,1
2020,6,15,17,53,6,2431733146,6/15/2020 5:53:06 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 18 and 19 ",0,,1
2020,6,15,17,52,36,2431733148,6/15/2020 5:52:37 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.17,0.028,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 17 and 18 ",0,,1
2020,6,15,17,52,14,2431733150,6/15/2020 5:52:14 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.19,0.027,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 16 and 17 ",0,,1
