objID,skyVersion,run,rerun,camcol,field,obj,mode,nChild,type,clean,probPSF,insideMask,flags,flags_u,flags_g,flags_r,flags_i,flags_z,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,petroR50_r,petroR90_r,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,mRrCc_r,mRrCcErr_r,mRrCcPsf_r,fracDeV_u,fracDeV_g,fracDeV_r,fracDeV_i,fracDeV_z,psffwhm_u,psffwhm_g,psffwhm_r,psffwhm_i,psffwhm_z,resolveStatus,thingId,balkanId,nObserve,nDetect,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,ra,dec,cx,cy,cz,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,htmID,fieldID,specObjID,size
1237678894964081232,2,7781,301,6,85,592,1,0,3,1,0,0,35253360136464,11258999211073809,2252074960195600,6755674587430928,2252074960060432,2252075094409232,23.31997,21.49645,19.79843,19.19863,18.8793,0.6016895,0.04541657,0.02176935,0.02080341,0.04344887,21.98483,20.59563,19.01074,18.38804,18.06963,0.8260424,0.07426219,0.03803354,0.03749443,0.09079389,1.159148,3.101235,22.72508,20.56869,18.92073,18.29585,17.91266,0.7102091,0.03577361,0.01704381,0.01527508,0.03569103,22.008,20.57604,18.92131,18.35545,18.07139,0.3969164,0.03574984,0.0170449,0.02055752,0.03546593,6.838707,0.1726898,2.642938,0,1,0.9972852,1,0.9920639,1.18548,0.9744427,1.072111,1.006337,0.8627372,257,399709434,7417763,1,1,24577,24577,24577,24577,24577,23.8255672293142,34.5177662676645,0.753733044214586,0.332837729080198,0.56666175462947,0.1749357,0.1363087,0.09429777,0.07007334,0.0521217,17347754270242,1237678894964080640,7433397728527536128,1.84914945948833
1237679005022880633,2,7807,301,3,89,889,1,0,3,1,0,0,281543964623104,9007199397347585,9007199397347585,4503874773712896,275146342400,134217729,25.40392,24.20135,22.19998,21.59771,20.90062,0.6058061,0.3653972,0.1087373,0.09294808,0.2089472,26.36924,23.60584,22.40077,21.39615,21.99118,0.5396869,0.4070765,0.2503496,0.1583363,1.163133,0.548295,0.8441432,25.71397,24.05099,22.05692,21.48456,20.76602,0.5570958,0.3721007,0.1116968,0.09990001,0.2178085,25.62549,23.53126,22.05691,21.22866,20.58942,0.6010014,0.5365281,0.1236254,0.09371019,0.2175414,3.028065,0.5944133,2.419101,0,0,0,1,1,1.203491,1.18428,1.025423,0.9134964,0.9867423,257,151083201,7458125,1,1,1,24577,24577,24577,24577,351.098095943628,4.47867146818666,0.984937975778265,-0.154270705291034,0.078087984727614,0.2308756,0.1798967,0.1244517,0.09248095,0.06878883,13253373722185,1237679005022879744,0,1.2304603213067
1237667444588086137,2,5115,301,6,189,889,1,0,3,1,0,0,281543964623104,134250497,45035996273739009,4503874782101760,275288981504,18014398643716097,22.64149,23.73716,22.52595,22.22516,21.53717,0.3238482,0.3143116,0.1423569,0.1868787,0.3884287,23.26317,22.82748,21.97162,21.83145,21.06725,1.764938,0.4882298,0.3671649,0.5644937,1.043372,0.9446089,2.460724,22.31489,23.26633,21.84467,21.77293,20.9557,0.3825571,0.3361462,0.1419392,0.2312391,0.4211612,22.18983,21.89981,21.84489,21.7907,20.42418,0.4033623,0.3921067,0.1581914,0.2204503,0.3795935,4.132849,1.097863,2.203791,1,1,1,1,0,1.368025,1.319916,0.9791706,0.9978839,1.118386,257,351097607,4506998,3,3,1,8193,24577,24577,24577,201.594043522638,27.7192474575822,-0.823106812041155,-0.325792060978367,0.465139451105703,0.0538385,0.0419506,0.02902123,0.02156588,0.01604106,15017306738768,1237667444588085248,0,1.43750630252949
1237667781205819926,2,5194,301,1,184,534,1,0,3,1,0,0,35287719870736,2314850208476954897,2350879280776380432,2310346883987406864,2305843284494286864,2305843284360036368,24.6092,23.24934,21.94818,21.25128,20.98592,0.7084529,0.268353,0.120811,0.09416335,0.2017614,24.63768,23.24373,21.66889,20.97145,21.58655,1.751023,0.6584419,0.2723065,0.221901,1.171925,0.7901641,2.087527,24.64416,23.13064,21.73593,21.073,20.85488,0.8050631,0.2307897,0.08731084,0.07316387,0.2068693,22.72084,23.13097,21.72581,20.989,20.94355,6.953928,0.2393371,0.1268605,0.07555442,0.2855785,4.166037,0.6058385,2.684511,0,0,0.1723956,1,0,1.388022,1.317932,1.080429,1.070167,1.138244,257,248490705,4961738,3,3,24577,24577,24577,24577,24577,141.188126595918,15.487154035106,-0.750915319918034,0.604007668300364,0.267022319192152,0.1021545,0.07959806,0.05506557,0.04091962,0.03043668,16350408071468,1237667781205819392,0,1.44326653911101
1237667912205009921,2,5224,301,5,225,1025,1,0,3,0,0,0,281543964754176,9007199389099265,9007199263260929,9007199397347585,4503874907930624,134217729,24.39042,23.78166,23.7719,22.45122,21.61733,0.7992179,0.2343245,0.3571397,0.1828391,0.283083,24.15481,23.50581,23.06928,22.27905,21.62916,2.314939,0.7242942,0.8055379,0.6419338,1.113716,1.668125,3.551235,24.57755,23.54715,23.73343,21.84121,21.15677,1.279093,0.3554691,0.5976019,0.1936651,0.3489461,22.32034,23.22561,23.38455,21.83616,20.7467,2.348446,0.2580234,0.46448,0.1937129,0.346284,16.94123,-1000,2.215292,1,0,0,0.8073179,0,1.23459,1.125184,0.9814931,0.8623229,0.9426294,257,333056444,4602164,1,1,24577,24577,24577,24577,24577,187.968394462835,25.564174591511,-0.893392440387427,-0.125055610522438,0.431521774346856,0.08181235,0.06374763,0.04410031,0.03277126,0.0243758,15005630079028,1237667912205008896,0,2.91043216498219
1237668355111780809,2,5327,301,6,46,457,1,0,3,0,0,0,193583034536208,2314850208602652689,2308095084182110480,2312757013475627024,2308095084173754384,2308095084173721616,23.75384,23.12781,21.49343,20.44315,19.90934,0.7051049,0.1971298,0.09779917,0.04109555,0.08838587,24.35919,23.68946,21.33738,20.26856,20.02434,2.515335,0.8004171,0.1545414,0.08555496,0.2471963,0.9582481,1.898661,23.71972,22.98433,21.2751,20.23164,19.72153,0.8402512,0.2065942,0.06727293,0.03917309,0.08845063,23.78444,22.96454,21.27733,20.24644,19.72381,2.991698,0.3648558,0.08926731,0.06677592,0.112534,7.442693,0.8583716,4.93012,1,0.4184413,0.8321896,0.8741836,0,1.481317,1.567374,1.464227,1.483417,1.55539,257,425285175,4704979,1,1,24577,24577,24577,24577,24577,261.822694424893,38.6951886648609,-0.111013453522473,-0.772547463641613,0.625177118549556,0.1785378,0.1391154,0.09623942,0.0715162,0.05319491,14369425431328,1237668355111780352,0,1.9290792147408
1237668705691174980,2,5409,301,3,87,2116,1,0,3,1,0,0,316728336711952,2308094809027379217,2305843009222082833,2310346883995795472,2305843284494254096,2314850208602652689,23.39274,24.25342,22.41761,22.03107,22.33963,0.7948596,0.459946,0.2127897,0.2608175,0.9027939,23.49202,24.6341,22.54832,21.98274,22.45991,1.798892,1.194434,0.5133349,0.6881897,2.172903,0.6819478,1.148228,23.29732,24.22518,22.18198,21.64355,22.22053,0.7102336,0.5517153,0.1625498,0.1360907,0.7945615,23.25391,24.28259,22.18196,21.58599,22.12085,2.546975,1.912073,0.2878355,0.1585852,4.392985,6.51204,1.897204,3.728916,1,1,0,0,1,1.372447,1.32611,1.27352,0.9762943,1.166014,257,199327441,4840229,1,1,24577,24577,24577,24577,24577,258.892864256349,9.69151916010336,-0.189894836344098,-0.967264403075142,0.168343475292443,0.4554273,0.3548658,0.2454945,0.1824287,0.1356935,14345665939962,1237668705691172864,0,1.80444453201596
1237668708907942812,2,5410,301,1,19,924,1,0,3,0,0,8,35219034476636,1099545317405,302514204,4503599930015772,302022684,302514204,22.66767,20.22551,18.75221,18.16129,17.85762,1.029776,0.04792214,0.01127086,0.01177747,0.03607686,23.01997,20.39923,18.61258,17.96413,18.06018,1.153258,0.1304069,0.01716402,0.01509828,0.1124462,0.722479,1.683143,22.60915,20.14083,18.56035,17.94591,17.75877,0.4218307,0.02357443,0.009550091,0.00838051,0.02121751,22.62236,20.24905,18.56035,17.93852,17.88038,1.138002,0.02298169,0.009550092,0.008379897,0.02061744,3.725276,0.03645718,2.742836,0,0.7717322,1,1,1,1.470339,1.28754,1.092199,0.9632844,1.1111,257,125826931,4844805,2,2,24580,24580,24580,24580,24580,273.633949228651,1.60338055431448,0.0633570489131769,-0.997598601341626,0.0279806174743486,3.12155,2.432291,1.682647,1.250387,0.9300585,13745416668812,1237668708907941888,0,1.36478500720182
1237669516365268158,2,5598,301,1,72,1214,1,0,3,0,0,0,536871168,9007199388958721,275557417216,4503875042148352,275414777856,9007199388992769,23.32067,23.34396,23.27987,22.73829,21.97405,0.4077414,0.1995839,0.2089785,0.1834607,0.3270961,24.32977,22.61127,23.49259,22.11778,20.78659,2.204974,0.3579454,1.500425,0.4479859,0.5048456,0.4368371,0.6088068,23.4133,22.7107,22.53745,22.09237,21.45088,0.6747005,0.1921971,0.3109939,0.2052666,0.3977926,23.36307,22.47858,22.53745,22.16561,20.33096,0.5613192,0.2240268,0.4780536,0.2702361,0.714903,6.920806,2.169511,1.417681,1,0,0,1,0,1.156673,0.941381,0.7850437,0.6143153,0.9166145,257,166065819,7117476,3,1,16385,24577,24577,24577,24577,353.486770673567,6.19132566946497,0.987750640337458,-0.112771003734743,0.107848844359132,0.3020952,0.2353905,0.1628421,0.1210091,0.09000855,13258747581812,1237669516365266944,0,1.86021583842995
1237670445151880199,2,5814,301,3,71,1031,1,0,3,1,0,0,35253360132112,275146375184,2251800082153488,6755674587430928,2252074960191504,2251800082153488,21.06361,19.00652,18.18544,17.75279,17.46052,0.09804704,0.02969829,0.03471779,0.06543253,0.02257106,21.04247,18.89621,17.96637,17.52328,17.23287,0.2013026,0.05324404,0.0770566,0.148258,0.03696128,0.7572376,1.591701,20.90643,18.83101,17.91521,17.45876,17.17547,0.09786204,0.009221469,0.006722447,0.006276102,0.0129683,20.9674,18.84536,17.9152,17.45187,17.16469,0.1600429,0.009215336,0.006722449,0.006275101,0.01685843,4.721698,0.02607718,2.736072,0.8335786,0.1006951,0,0,0,1.326561,1.342452,1.090779,1.053425,1.060105,257,544234823,4923223,3,3,1,24577,24577,24577,24577,30.3753441214083,64.5386310758038,0.370890312308502,0.217385566401113,0.902875346742932,4.035985,3.144812,2.175566,1.616679,1.202512,17030179946284,1237670445151879168,0,1.53650541933831
