specObjID,mjd,plate,tile,fiberID,z,zErr,class,subClass,zWarning,ra,dec,cx,cy,cz,htmID,sciencePrimary,legacyPrimary,seguePrimary,segue1Primary,segue2Primary,bossPrimary,sdssPrimary,survey,programname,legacy_target1,legacy_target2,special_target1,special_target2,segue1_target1,segue1_target2,segue2_target1,segue2_target2,boss_target1,ancillary_target1,ancillary_target2,plateID,sourceType,targetObjID,objID,skyVersion,run,rerun,camcol,field,obj,mode,nChild,type,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,mRrCc_r,mRrCcErr_r,score,resolveStatus,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,photoRa,photoDec,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,fieldID,dered_u,dered_g,dered_r,dered_i,dered_z
302994650333997056,51910,269,119,464,0.04550909,1.788474E-05,GALAXY,,0,151.08344,0.47663764,-0.875294521179078,0.483518664331588,0.00831880020707303,15557623076538,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,302867106985175040,GALAXY,284707479748685,1237654670809825400,2,2141,301,5,57,120,1,0,3,35253360136464,20.05662,18.33261,17.55096,17.14548,16.85526,0.04114154,0.01631129,0.01334532,0.01536062,0.01445163,20.13708,18.38365,17.54128,17.16681,16.85409,0.03728656,0.005478196,0.003699278,0.004459755,0.01003347,17.95622,16.57015,15.74743,15.40167,15.12723,0.06792047,0.009025813,0.007475354,0.007766717,0.02201217,18.2487,16.53831,15.72372,15.34756,15.0483,0.03072988,0.004414337,0.003426299,0.003658988,0.007587423,17.8866,16.50253,15.72373,15.41078,15.18174,0.03047982,0.004413628,0.0034263,0.003657968,0.007576255,15.63058,0.04822116,0.8084269,257,1,8193,8193,8193,8193,151.083448187307,0.476591026153952,0.1335113,0.1040311,0.07196822,0.0534801,0.03977937,1237654670809825280,18.11519,16.43428,15.65175,15.29408,15.00852
305126053171456000,51883,271,117,26,5.919856E-05,1.092371E-05,STAR,M1,0,155.54324,-0.34289179,-0.910257671734376,0.413998980856574,-0.00598455499027637,10548937739905,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,305118906345875456,GALAXY,284706407972944,1237654669737984215,2,2141,301,3,86,215,1,0,6,35253393687056,22.21198,19.22619,17.80389,16.93099,16.50832,0.2841848,0.1940235,0.2761053,0.1883685,0.1871459,21.98636,19.22569,17.84388,17.0422,16.59062,0.2241369,0.1938992,0.3786037,0.2809365,0.2074584,22.34537,19.35142,17.89183,17.00503,16.6234,0.5323335,0.419283,0.6218616,0.426652,0.4307567,22.22512,19.25106,17.81779,16.94222,16.52821,0.254223,0.01262159,0.007115487,0.005767112,0.01024775,22.22441,19.25093,17.81779,16.94213,16.52774,0.5027922,0.01262174,0.007115487,0.005767129,0.01024901,2.768766,0.017275,0.8464015,257,1,1,1,1,1,155.543232859384,-0.342916386633696,0.1913053,0.1490638,0.1031216,0.07663042,0.05699895,1237654669737984000,22.03382,19.102,17.71467,16.86559,16.47121
306364653993224192,51941,272,116,436,0.6175881,0.0001076415,QSO,BROADLINE,0,155.60345,0.1118451,-0.910706798613569,0.413048806323338,0.00195206400747933,15548435854336,1,1,0,0,0,0,1,sdss,legacy,36700160,0,0,0,0,0,0,0,0,0,0,306244807225796608,SERENDIPITY_FIRST,284706944843919,1237651801236570237,2,1473,301,4,84,125,1,0,6,68987912960,19.99764,19.49924,19.57911,19.41498,19.34333,0.04423174,0.02196304,0.02014547,0.02331812,0.0698248,20.26167,19.80478,19.88215,19.70312,19.57104,0.04888836,0.01517711,0.02298551,0.02928916,0.1094984,19.93147,19.52302,19.59194,19.39903,19.12856,0.05110231,0.0164012,0.0258297,0.03206857,0.1082595,19.97563,19.47462,19.53758,19.37055,19.33073,0.03897798,0.0125925,0.01617988,0.0194433,0.07191596,19.94674,19.47608,19.53758,19.35644,19.15445,0.03883828,0.01725264,0.01697711,0.02002441,0.07056484,2.665534,0.05227353,0.8598079,257,1,1,1,1,1,155.603485585256,0.111854688990965,0.1906386,0.1485443,0.1027622,0.07636336,0.05680031,1237651801236570112,19.78499,19.32608,19.43482,19.29419,19.27393
308509250953439232,51913,274,114,46,0.0004848106,6.906054E-05,STAR,M3,0,160.29229,-0.7586184,-0.941342656675244,0.337192385843514,-0.0132400019921487,10466130869413,1,1,0,0,0,0,1,sdss,legacy,4096,0,0,0,0,0,0,0,0,0,0,308496606569719808,ROSAT_D,284705873199597,1237654669203210947,2,2141,301,2,118,707,1,0,6,68987912448,24.78467,22.67068,21.24124,20.12996,19.39474,1.09312,0.1547137,0.0624933,0.03541596,0.06901569,25.05992,22.96125,21.61813,20.43758,19.79426,1.056374,0.210845,0.1014928,0.05648987,0.1178658,25.31963,22.8776,21.34109,20.10532,19.52496,1.608103,0.3664608,0.1337589,0.07960608,0.1680023,25.06498,22.6612,21.20897,20.08954,19.36806,1.063802,0.1611788,0.06481957,0.0355443,0.07068896,25.07084,22.58461,21.20897,20.11458,19.40371,1.037117,0.2114103,0.090175,0.03547059,0.07474684,3.375182,0.3602073,0.8173025,257,1,1,1,1,1,160.292274076322,-0.758598596829642,0.2121588,0.1653127,0.1143626,0.08498364,0.06321222,1237654669203210240,24.85282,22.49588,21.09461,20.00456,19.30485
308526018505762816,51913,274,114,107,0.1279442,2.467279E-05,GALAXY,,0,160.61614,-0.19511939,-0.943310719093063,0.331893491987422,-0.00340546920761898,10464962475638,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,308496606569719808,GALAXY,284723602194592,1237648721222238468,2,756,301,3,299,260,1,0,3,193583034531928,21.70756,20.09088,19.09416,18.62324,18.13072,0.1321837,0.02035543,0.02056189,0.02402468,0.0330764,21.79037,19.97921,18.93071,18.40057,17.99957,0.1254993,0.01509367,0.007973672,0.00721588,0.0231618,20.31869,18.58011,17.62117,17.19795,16.88963,0.2309938,0.02431039,0.01669763,0.02001048,0.06304703,20.02983,18.40939,17.41204,16.90765,16.52444,0.0813584,0.01052387,0.007121008,0.00690568,0.01692775,19.58901,18.39966,17.46655,17.05735,16.77017,0.08125242,0.01059975,0.007174195,0.006935075,0.01679561,22.22238,0.2243038,0.8847258,257,24577,24577,24577,24577,24577,160.616146173619,-0.195120207353749,0.2118815,0.1650966,0.1142131,0.08487255,0.06312959,1237648721222238208,19.81795,18.24429,17.29783,16.82278,16.46131
309760770013423616,51910,275,113,503,0.09461519,1.653747E-05,GALAXY,,0,161.7242,0.46086768,-0.949527295598381,0.313581274740733,0.00804357169426696,15429510075610,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,309622506426230784,GALAXY,284707484401777,1237654670814478445,2,2141,301,5,128,109,1,0,3,35253360132112,21.07596,19.1289,18.27004,17.75167,17.47394,0.08612373,0.02036737,0.01492366,0.01349225,0.02124251,21.05382,19.185,18.25582,17.77015,17.39711,0.08078708,0.009889386,0.006571829,0.00660718,0.01491238,19.18265,17.44221,16.61756,16.20131,15.88729,0.1271398,0.01462143,0.01028005,0.01068385,0.02754098,19.02001,17.19219,16.33018,15.85672,15.51587,0.0544469,0.006462689,0.004735267,0.004906445,0.01052342,19.00792,17.32087,16.48916,16.05587,15.69675,0.05138623,0.006510481,0.004793433,0.004972858,0.01066297,46.81975,0.2534364,0.8010052,257,1,8193,8193,8193,8193,161.724154787644,0.460843617930855,0.1798165,0.1401118,0.09692869,0.07202841,0.0535759,1237654670814478336,18.8402,17.05208,16.23325,15.78469,15.4623
380591855206688768,51694,338,128,137,0.1141508,2.981578E-05,GALAXY,,0,194.69615,-3.1181974,-0.965852682862577,-0.253317341741002,-0.0543959500370538,11046076003484,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,380554196933437440,GALAXY,286763166335093,1237650760786378902,2,1231,301,2,170,150,1,0,3,158399266423368,21.29773,19.37852,18.44015,18.03253,17.53005,0.1247707,0.0203162,0.0173707,0.01917519,0.02106347,21.5562,19.52539,18.48935,18.02359,17.63871,0.1494308,0.01183259,0.007647451,0.007156475,0.01736478,20.19014,18.6156,17.60484,17.16251,16.80955,0.134025,0.0165968,0.01166199,0.01186054,0.02870905,20.50644,18.52048,17.48869,17.0228,16.65041,0.09809802,0.009725058,0.006505911,0.006156805,0.01397094,20.09023,18.46916,17.49069,17.06401,16.74232,0.09563501,0.009717706,0.006507689,0.006170329,0.01399547,9.509822,0.06631855,0.8264494,257,1,24577,24577,24577,24577,194.69614312114,-3.11820210131104,0.1005718,0.07836486,0.05421244,0.04028565,0.02996513,1237650760786378752,20.40587,18.44211,17.43447,16.98252,16.62045
305236004334233600,51883,271,117,426,0.07214015,7.081859E-06,GALAXY,STARFORMING,0,154.21979,0.044587311,-0.900468774146356,0.434919971028497,0.000778195303016384,15550238183158,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,305118906345875456,GALAXY,284706944254031,1237654670274330659,2,2141,301,4,78,35,1,0,3,35253360132112,21.02597,19.40451,18.61502,18.1125,17.81518,0.2482341,0.1945486,0.1182956,0.08033289,0.0620585,20.98648,19.44136,18.64767,18.1444,17.80939,0.2659264,0.1950074,0.1523622,0.08073988,0.079436,20.60844,18.45464,17.70905,17.22731,16.96257,0.9267043,0.4887205,0.3202139,0.2345705,0.1807043,20.26046,18.55293,17.74058,17.22924,16.9206,0.0856709,0.01027539,0.00774237,0.007309146,0.01900204,20.51816,18.43865,17.74058,17.28668,17.05833,0.1226784,0.01026103,0.00774237,0.00730768,0.01945627,7.19492,0.06565616,0.8287199,257,1,1,8193,8193,1,154.219831995926,0.0445532877836945,0.1743637,0.135863,0.09398942,0.06984422,0.05195126,1237654670274330624,20.08609,18.41707,17.64659,17.15939,16.86865
308619202116216832,51913,274,114,446,0.1505607,2.212623E-05,GALAXY,,0,159.99924,1.1188633,-0.939508920815504,0.341967395101583,0.0195266073736386,15427866131807,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,308496606569719808,GALAXY,284725212545190,1237648722832589058,2,756,301,6,295,258,1,0,3,35253360136208,21.68567,19.78993,18.63169,18.1627,17.78004,0.1108503,0.01815427,0.01431709,0.01295141,0.02361987,21.65206,19.83117,18.67489,18.19779,17.83698,0.1249882,0.01378818,0.00812233,0.006802088,0.01571188,19.52543,18.14191,17.13359,16.77944,16.50041,0.1974214,0.02618784,0.01459761,0.01978932,0.0567967,19.85943,18.20131,17.11049,16.65168,16.29443,0.07706228,0.009834577,0.006326356,0.006462513,0.0147513,18.74507,17.98044,17.11049,16.72994,16.48807,0.07108508,0.009792534,0.006326356,0.006460554,0.01471461,8.874674,0.06608021,0.8464659,257,24577,24577,24577,24577,24577,159.999220103676,1.11884706802708,0.2084675,0.1624364,0.1123728,0.083505,0.06211238,1237648722832588800,19.65096,18.03887,16.99812,16.56818,16.23231
308650263319701504,51913,274,114,559,0.1264369,2.432965E-05,GALAXY,,0,160.63524,0.12640288,-0.943424480703569,0.331580129282476,0.00220614465042108,15429139377694,1,1,0,0,0,0,1,sdss,legacy,64,0,0,0,0,0,0,0,0,0,0,308496606569719808,GALAXY,284706947072139,1237654670277148773,2,2141,301,4,121,101,1,0,3,105622104310032,22.05231,19.63717,18.68961,18.21061,17.69277,0.1902496,0.01889154,0.01145945,0.01373567,0.02340556,22.04192,19.7654,18.58929,18.10217,17.72151,0.213382,0.01418576,0.007113936,0.008099886,0.02223981,19.95162,18.34459,17.214,16.75463,16.43244,0.2387678,0.02472108,0.01612986,0.01633941,0.0473439,20.53952,18.28932,17.14854,16.66012,16.27057,0.154526,0.01075042,0.006550665,0.006392892,0.01663999,19.28611,18.18011,17.14857,16.69047,16.35414,0.1442794,0.01073587,0.006550666,0.006390946,0.01663077,11.63241,0.09195817,0.8520103,257,1,1,8193,8193,1,160.635260933095,0.126389603268045,0.2364546,0.1842438,0.127459,0.09471571,0.0704511,1237654670277148672,20.30307,18.10507,17.02108,16.5654,16.20011
