SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
395330810019866624,26,,351,51780,509,256.05974,62.042795,0.08226446,1.022003E-05,GALAXY,5.079316E+09,6.628644E+09,3.579966E+09,8.327907E+09,2.980226E+09,1.012471,1.172072,0.9193709,1.338323,0.5004186,6.578666E+09,9.977192E+09,5.229251E+09,1.197633E+10,3.729901E+09,0.6866196,0.9060709,0.3607678,1.118872,0.3009175,1.747593E+10,2.285846E+10,1.281107E+10,2.644682E+10,1.10169E+10,0.06666667,5,1.72767E+09,4.12719E+09,8.7784E+08,5.87684E+09,7.2787E+08,1.152122,1.610975,1.052372,1.750626,0.6999197,2.92743E+09,9.92603E+09,1.22777E+09,1.067588E+10,1.02781E+09,0.9725713,1.876976,0.6467195,1.996677,0.4871185,8.571217E+09,1.255074E+10,5.315246E+09,1.616849E+10,4.95347E+09,0.04666667,5
395346476634499072,26,,351,51695,566,256.62887,62.678965,0.07730608,1.425741E-05,GALAXY,1.007715E+10,1.112669E+10,8.078016E+09,1.197633E+10,7.578232E+09,1.491274,1.750626,1.344973,1.750626,1.344973,1.242613E+10,1.287594E+10,1.077685E+10,1.337572E+10,9.527387E+09,1.677475,1.857026,1.544474,1.870326,1.404824,1.160682E+11,1.25977E+11,9.691125E+10,1.352252E+11,8.832364E+10,0,4,1.037594E+10,1.277546E+10,9.67608E+09,1.297542E+10,9.02621E+09,1.245223,1.305073,0.8728207,1.391524,0.8395705,1.267548E+10,1.372527E+10,1.187564E+10,1.377526E+10,1.10758E+10,1.059022,1.125522,0.9193709,1.251873,0.8861208,1.053637E+11,1.237531E+11,9.923391E+10,1.271586E+11,9.174193E+10,0,4
395361871223351296,26,,351,51780,622,258.92331,61.592704,0.1753456,4.011731E-05,GALAXY,1.262604E+10,1.467516E+10,9.977192E+09,1.497503E+10,8.677756E+09,1.138822,1.411474,1.078972,1.677475,0.8196204,1.442526E+10,1.472513E+10,1.237615E+10,1.497503E+10,1.067689E+10,1.557775,1.857026,1.364923,1.930177,1.072322,1.851218E+11,2.122518E+11,1.598005E+11,2.176778E+11,1.145837E+11,0.03666667,4,6.37674E+09,8.37634E+09,3.77726E+09,9.97602E+09,3.47732E+09,0.9526212,1.378224,0.75312,1.497924,0.5004186,9.82605E+09,1.097582E+10,4.27716E+09,1.177566E+10,3.17738E+09,1.517874,1.670825,0.6001692,1.743976,0.5004186,9.764594E+10,1.033508E+11,5.676124E+10,1.138097E+11,4.440074E+10,0.02333333,3
396322844537022464,26,,352,51789,22,262.54909,63.013949,0.07520913,1.028345E-05,GALAXY,4.929381E+09,7.128428E+09,3.480009E+09,7.978059E+09,3.080183E+09,0.5070686,0.75312,0.2610173,1.005821,0.2277671,4.979359E+09,9.127561E+09,3.629944E+09,1.067689E+10,3.529988E+09,0.6400694,0.8794707,0.3474678,1.158772,0.2743174,1.393335E+10,1.938164E+10,1.030116E+10,2.119774E+10,8.22562E+09,0.08,3,6.02681E+09,9.37614E+09,3.97722E+09,1.162569E+10,2.62749E+09,0.8129703,1.065672,0.4405683,1.092272,0.4405683,9.17618E+09,1.287544E+10,7.12659E+09,1.467508E+10,5.5769E+09,0.74647,1.344973,0.3740679,1.517874,0.3607678,1.972847E+10,2.770194E+10,1.304105E+10,3.027402E+10,9.697339E+09,0,4
396332463669929984,26,,352,51694,57,261.81464,62.186789,0.08534379,1.356761E-05,GALAXY,6.778579E+09,9.727301E+09,4.179706E+09,1.197633E+10,1.880702E+09,0.9991714,1.251873,0.75312,1.504574,0.2743174,6.728601E+09,1.08768E+10,5.029338E+09,1.2726E+10,2.330508E+09,1.158772,1.411474,0.6334193,1.817126,0.3075675,1.229086E+10,1.706292E+10,8.177015E+09,2.167042E+10,4.721387E+09,0.1533333,4,7.7786E+08,2.97742E+09,7.7786E+08,2.97742E+09,7.2787E+08,1.990027,1.996677,1.238573,1.996677,1.125522,7.7786E+08,6.17678E+09,7.7786E+08,1.062589E+10,7.2787E+08,1.996677,1.996677,0.6201193,1.996677,0.6201193,2.588881E+09,5.064323E+09,2.423851E+09,7.044676E+09,2.093792E+09,0.1366667,2
396353905740507136,26,,352,51789,135,260.19312,62.40992,0.1716491,7.213507E-06,GALAXY,1.0427E+10,1.197633E+10,8.977626E+09,1.22762E+10,7.678189E+09,0.2543672,0.5403188,0.2011669,0.5403188,0.1479666,1.037702E+10,1.262604E+10,9.327474E+09,1.262604E+10,8.227951E+09,0.3275176,0.4804685,0.1612667,0.6999197,0.1479666,5.037583E+10,5.888642E+10,4.239716E+10,5.941834E+10,3.654612E+10,0,3,5.02701E+09,1.002601E+10,4.72707E+09,1.017598E+10,4.7792E+08,0.9193709,0.9193709,0.3341677,1.497924,0.3075675,1.177566E+10,1.497502E+10,9.87604E+09,1.497502E+10,8.7784E+08,0.3541178,1.198673,0.008315858,1.990027,0.008315858,2.059596E+10,4.560624E+10,1.846742E+10,6.103813E+10,3.567674E+09,0,4
396363524873414656,26,,352,51694,170,259.71158,62.894664,0.08046893,2.25647E-05,GALAXY,2.130594E+09,5.029338E+09,1.680789E+09,5.679056E+09,1.630811E+09,1.411474,1.544474,1.125522,1.750626,0.9991714,3.280096E+09,8.577799E+09,2.430464E+09,9.377452E+09,2.430464E+09,1.045722,1.331673,0.5935192,1.637575,0.5336688,7.187973E+09,1.397787E+10,6.017302E+09,1.585094E+10,5.080764E+09,0.2,3,7.92643E+09,8.97622E+09,6.47672E+09,1.047592E+10,4.97702E+09,0.75312,0.8661706,0.6267693,1.497924,0.5004186,1.022597E+10,1.162569E+10,8.47632E+09,1.287544E+10,6.5767E+09,0.8861208,1.125522,0.6001692,1.458024,0.5004186,2.552802E+10,2.738976E+10,1.924466E+10,2.994965E+10,1.482303E+10,0,3
373886494835763200,26,,332,52367,319,181.58958,-3.0258763,0.04356054,8.349974E-06,GALAXY,8.927648E+09,1.047698E+10,6.678623E+09,1.247611E+10,3.879836E+09,0.4339182,0.6068192,0.3408177,0.8329205,0.1945169,1.262604E+10,1.412539E+10,1.097676E+10,1.497503E+10,9.42743E+09,0.214467,0.387368,0.09476634,0.5469689,0.04821608,3.605553E+09,4.357547E+09,3.041558E+09,4.686545E+09,2.148565E+09,0.03666667,4,8.02641E+09,1.002601E+10,4.22717E+09,1.167568E+10,1.02781E+09,0.6866196,0.8329205,0.5868691,1.497924,0.4605184,1.222557E+10,1.497502E+10,9.42613E+09,1.497502E+10,1.97762E+09,0.580219,1.072322,0.2743174,1.996677,0.2410672,3.942092E+09,5.494979E+09,2.539484E+09,5.695351E+09,9.365041E+08,0,5
373917556039247872,26,,332,52367,432,182.15123,-2.1240216,1.081888,0.0004502082,QSO,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
373948617242732544,26,,332,52367,545,183.03172,-1.8861232,0.1375322,1.845507E-05,GALAXY,2.380486E+09,4.279663E+09,1.930681E+09,5.179273E+09,1.730767E+09,1.178722,1.318373,1.138822,1.378224,0.75977,3.529988E+09,7.178406E+09,3.030204E+09,8.627778E+09,2.730334E+09,0.6866196,0.932671,0.5270188,0.9792213,0.3740679,4.054934E+10,6.036403E+10,3.526542E+10,7.357383E+10,3.526542E+10,0.14,2,4.47712E+09,5.77686E+09,3.0774E+09,6.97662E+09,1.82765E+09,0.7730702,1.065672,0.5935192,1.098922,0.4405683,6.72667E+09,9.17618E+09,5.17698E+09,1.122577E+10,2.42753E+09,0.5935192,1.271823,0.4405683,1.371573,0.3075675,7.431953E+10,9.062613E+10,5.393628E+10,1.055739E+11,3.355302E+10,0.04666667,5
373965384795056128,26,,332,52367,606,183.68236,-1.3812142,0.07550868,2.180627E-05,GALAXY,7.928081E+09,9.077583E+09,5.479142E+09,1.147654E+10,5.229251E+09,1.318373,1.624275,1.178722,1.624275,0.8728207,9.477409E+09,1.192635E+10,7.778146E+09,1.297589E+10,6.928514E+09,1.617625,1.803826,1.225273,1.857026,0.9459711,3.783051E+10,4.213917E+10,2.748973E+10,4.673507E+10,2.461729E+10,0.03666667,3,7.42653E+09,8.72627E+09,6.52671E+09,1.047592E+10,4.72707E+09,0.9991714,1.092272,0.9526212,1.497924,0.75312,7.82645E+09,9.62609E+09,6.92663E+09,1.137574E+10,5.97682E+09,0.9991714,1.152122,0.8329205,1.271823,0.6932697,3.013266E+10,3.428092E+10,2.657702E+10,3.931808E+10,1.946572E+10,0,3
374937077290133504,26,,333,52313,45,185.51834,-3.1788405,0.1883747,3.123198E-05,GALAXY,1.002717E+10,1.082682E+10,9.577366E+09,1.092678E+10,8.977626E+09,1.198673,1.291773,1.158772,1.291773,1.019122,1.427533E+10,1.432531E+10,1.347568E+10,1.437529E+10,1.277598E+10,1.876976,1.890276,1.697425,1.896926,1.624275,2.92351E+11,3.063685E+11,2.76776E+11,3.17271E+11,2.596434E+11,0.1433333,2,1.302541E+10,1.317538E+10,1.202561E+10,1.317538E+10,1.10758E+10,1.012471,1.045722,0.9925213,1.092272,0.9592712,1.417518E+10,1.427516E+10,1.327536E+10,1.427516E+10,1.292543E+10,1.591025,1.644225,1.497924,1.717375,1.464674,3.121286E+11,3.268604E+11,2.875758E+11,3.268604E+11,2.744809E+11,0.11,2
374968138493618176,26,,333,52313,158,185.14442,-2.6550266,0.1148188,3.81039E-05,GALAXY,1.062691E+10,1.322578E+10,1.057693E+10,1.397546E+10,6.478709E+09,1.092272,1.092272,0.9127209,1.497924,0.5004186,1.352565E+10,1.45752E+10,1.232617E+10,1.497503E+10,8.327907E+09,1.664175,1.717375,1.311723,1.790526,0.5004186,4.192635E+10,4.88846E+10,2.552477E+10,5.037566E+10,6.389585E+09,0,3,7.62649E+09,9.02621E+09,4.42713E+09,1.0076E+10,2.77746E+09,0.8728207,1.165422,0.5602689,1.165422,0.4405683,1.252551E+10,1.462509E+10,7.62649E+09,1.497502E+10,4.92703E+09,0.5336688,1.331673,0.3474678,1.950127,0.1280165,2.32446E+10,3.144575E+10,1.504345E+10,3.887804E+10,9.661448E+09,0.03333334,5
374999199697102848,26,,333,52313,271,183.80585,-2.6344262,0.1100906,2.943144E-05,GALAXY,7.428298E+09,8.078016E+09,5.629078E+09,1.122665E+10,4.729467E+09,1.990027,1.996677,1.624275,1.996677,1.497924,1.312583E+10,1.367559E+10,1.102674E+10,1.412539E+10,9.927214E+09,1.996677,1.996677,1.185372,1.996677,1.092272,8.108157E+10,8.495049E+10,6.173691E+10,8.992483E+10,5.178823E+10,0.04,3,9.5761E+09,1.147572E+10,8.5763E+09,1.167568E+10,7.17658E+09,1.325023,1.418124,1.125522,1.664175,0.9991714,9.92603E+09,1.202561E+10,9.17618E+09,1.267548E+10,7.47652E+09,1.458024,1.637575,1.165422,1.817126,0.9991714,8.507317E+10,9.928092E+10,7.541191E+10,1.04964E+11,6.518233E+10,0,3
375015967249426432,26,,333,52313,332,183.75388,-1.8162909,0.1272997,1.521157E-05,GALAXY,6.978492E+09,1.002717E+10,6.678623E+09,1.152652E+10,4.029771E+09,0.9991714,1.092272,0.5004186,1.251873,0.2011669,1.372557E+10,1.437529E+10,1.162648E+10,1.492505E+10,1.067689E+10,1.650875,1.724025,0.3275176,1.843726,0.05486612,1.726653E+10,2.05418E+10,1.258756E+10,2.366111E+10,9.780183E+09,0.1266667,4,7.52651E+09,1.002601E+10,3.22737E+09,1.202561E+10,2.7796E+08,0.5004186,0.9991714,0.3341677,1.497924,0.3341677,1.252551E+10,1.497502E+10,7.52651E+09,1.497502E+10,3.7794E+08,0.5203687,1.684125,0.008315858,1.996677,0.008315858,1.225121E+10,2.023068E+10,4.27173E+09,2.505162E+10,7.807099E+08,0.03666667,4
375047028452911104,26,,333,52313,445,184.64555,-1.3317557,1.271909,3.188827E-05,QSO,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
375078089656395776,26,,333,52313,558,185.3077,-2.5096147,0.0677105,7.985258E-06,GALAXY,2.080616E+09,4.029771E+09,2.314175E+08,5.279229E+09,1.814392E+08,0.75977,1.251873,0.5070686,1.664175,0.3474678,6.428731E+09,1.382552E+10,4.813092E+08,1.482509E+10,2.314175E+08,0.2676673,1.890276,0.09476634,1.990027,0.05486612,1.379184E+09,3.044485E+09,5.798389E+08,5.109459E+09,2.467786E+08,0.18,6,2.52751E+09,6.62669E+09,6.2789E+08,1.002601E+10,3.7794E+08,0.9991714,1.165422,0.6267693,1.331673,0.5004186,7.77646E+09,1.317538E+10,1.27776E+09,1.412519E+10,1.17778E+09,0.5004186,1.245223,0.221117,1.604325,0.08146627,1.657202E+09,4.314203E+09,7.482283E+08,6.271993E+09,6.083861E+08,0,6
376075341334079488,26,,334,51993,90,187.48642,-3.627892,0.2977782,8.992316E-05,GALAXY,1.132661E+10,1.417537E+10,8.177973E+09,1.417537E+10,5.978926E+09,1.491274,1.757276,1.005821,1.996677,0.8728207,1.252609E+10,1.447524E+10,1.097676E+10,1.497503E+10,9.227518E+09,1.843726,1.936827,1.245223,1.996677,0.74647,3.60011E+11,3.99477E+11,2.649337E+11,3.99477E+11,1.913834E+11,0.08333334,4,6.42673E+09,8.17638E+09,4.47712E+09,1.072587E+10,1.97762E+09,1.497924,1.544474,1.178722,1.996677,0.8728207,8.67628E+09,1.072587E+10,4.62709E+09,1.232555E+10,1.97762E+09,1.817126,1.883626,1.185372,1.996677,0.5004186,2.097315E+11,2.604303E+11,1.346222E+11,2.829631E+11,6.890149E+10,0.05,3
376106402537564160,26,,334,51993,203,186.69899,-3.4228982,0.3036324,5.644208E-05,QSO,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
