objID,z,zErr,nnCount,nnVol,photoErrorClass,nnObjID,nnSpecz,nnFarObjID,nnAvgZ,distMod,lumDist,chisq,rnorm,bestFitTemplateID,synthU,synthG,synthR,synthI,synthZ,kcorrU,kcorrG,kcorrR,kcorrI,kcorrZ,kcorrU01,kcorrG01,kcorrR01,kcorrI01,kcorrZ01,absMagU,absMagG,absMagR,absMagI,absMagZ
1237659330846524364,0.148548,0.140989,100,740.4534,-7,1237653652915159485,0.195551,1237657595682620031,0.347134,39.2337,702.646,12.7505,2.94342,34,23.0443,22.6633,22.3813,22.1813,22.1623,-0.253,-0.096,-0.148,-0.314,-0.216,-0.101,-0.021,-0.105,-0.057,-0.068,-16.6756,-15.8814,-16.5764,-17.1698,-14.1053
1237660344467588052,0.709701,0.132551,100,512.1537,-7,1237678618475889565,0.60578,1237651504879894570,0.293574,43.1946,4354.37,7.96581,2.06105,35,22.7262,22.5712,22.2442,21.6472,21.4182,-0.741,-0.148,-0.088,-0.557,-0.631,-0.67,-0.114,-0.063,-0.366,-0.502,-19.9622,-19.1296,-20.8497,-21.6957,-19.7728
1237661119704335607,0.230436,0.088877,100,25.94911,-7,1237657587096224229,0.304058,1237652900769235415,0.354391,40.2959,1145.97,3.97416,0.687979,19,24.087,22.853,21.8,21.345,21.049,0.318,0.413,0.035,-0.107,-0.16,0.171,0.293,0.022,-0.038,-0.072,-16.5464,-17.9883,-18.8435,-18.2644,-18.9389
1237661150846124186,0.431907,0.130801,99,123.4925,-7,1237661065482993709,0.164192,1237663457779647651,0.277706,41.8837,2380.9,1.69402,1.15118,10,24.007,23.324,22.159,21.618,21.154,0.147,0.637,0.226,0.026,-0.142,0.066,0.539,0.158,0.096,-0.084,-18.0043,-19.5847,-19.981,-20.225,-19.5065
1237661384383988784,0.789656,0.091435,98,11.29572,-7,1237665179523285265,0.625918,1237651195642577200,0.677007,43.4813,4968.87,67.7344,3.7668,33,25.6497,24.6607,22.9707,21.6877,20.7867,1.545,2.346,1.569,0.737,0.194,1.277,2.092,1.511,0.72,0.218,-19.0067,-24.8298,-21.911,-22.4394,-23.6605
1237661873467097904,0.672063,0.077269,98,39.4328,-7,1237668271912911707,0.726555,1237657774462796909,0.637785,43.0488,4071.63,2.25188,1.77491,36,22.9812,22.6812,22.1342,21.4882,21.1912,-0.423,0.154,0.123,-0.317,-0.412,-0.406,0.147,0.12,-0.173,-0.307,-19.6937,-18.771,-21.1729,-21.1506,-21.2088
1237661873468997885,0.097855,0.027521,100,5.953322,1,1237671139870245536,0.07886,1237655499204133128,0.097269,38.2537,447.44,10.6971,0.20911,34,18.6066,18.1456,17.9476,17.6996,17.6916,-0.152,-0.075,-0.043,-0.257,-0.148,0,0,0,0,0,-19.6007,-19.9389,-20.3352,-20.4215,-20.3591
1237661950783324734,0.586712,0.180285,100,7.881614,-6,1237657856066322969,0.657579,1237679323398275602,0.463809,42.6873,3447.2,10.0141,1.82538,34,21.9829,21.9979,21.7009,21.3859,21.3429,-0.969,-0.416,-0.483,-0.764,-0.69,-0.817,-0.341,-0.44,-0.507,-0.542,-20.976,-20.0836,-20.3291,-20.4056,-21.9619
1237662193985192691,0.649233,0.055236,100,0.331855,-5,1237659163354661836,0.692258,1237662638524073294,0.66647,42.9566,3902.27,24.3277,1.36095,33,25.2374,23.9614,22.3544,21.0204,20.3674,1.469,1.983,1.289,0.406,0.111,1.201,1.729,1.231,0.389,0.135,-18.4829,-22.1014,-22.039,-22.5398,-22.88
1237663784199390390,0.590175,0.162204,100,50.40892,-7,1237655471823324010,0.717164,1237655370897293645,0.635692,42.7029,3472.06,6.10134,1.26096,34,21.6731,21.6881,21.3911,21.0761,21.0331,-0.969,-0.416,-0.483,-0.764,-0.69,-0.817,-0.341,-0.44,-0.507,-0.542,-20.8959,-21.0284,-20.0489,-20.7449,-21.2729
1237663784201290371,0.680217,0.102296,99,309.5988,-7,1237655125545779435,0.07833,1237655369290809435,0.180931,43.0811,4132.51,3.06266,0.455874,25,24.1544,23.2654,22.1734,21.2144,20.7144,0.686,1.078,0.731,0.114,-0.08,0.523,0.953,0.683,0.173,-0.03,-19.6102,-21.3452,-21.588,-22.004,-22.2588
1237663784203190352,0.31295,0.14768,98,79.25848,-7,1237678617407324758,0.344272,1237663237668078169,0.23774,41.059,1628.51,10.0316,1.09698,8,24.8576,22.9976,21.5376,21.0246,20.7096,1.163,0.837,0.073,-0.119,-0.189,0.944,0.663,0.087,-0.074,-0.102,-17.1011,-19.3938,-19.5733,-19.945,-19.2184
1237663784212890255,-9999,-9999,-9999,14.7036,-7,1237662268071739789,0.77568,1237654602096837367,0.730101,43.2706,4509.41,19.9393,2.16252,34,22.2714,22.2804,22.2064,21.7704,21.5984,-1.144,-0.597,-0.441,-0.843,-0.898,-0.992,-0.522,-0.398,-0.586,-0.75,-20.6057,-20.1562,-20.228,-20.6399,-22.7492
1237650371014623579,0.527703,0.055238,99,19.20518,-7,1237679323397882352,0.455614,1237654653639328463,0.480443,42.4073,3030.08,0.563649,1.01758,3,24.9233,23.7753,22.4183,21.6413,21.0923,0.852,1.07,0.576,0.2,0.012,0.634,0.924,0.479,0.236,0.032,-18.3997,-18.7449,-20.6195,-20.7265,-21.5614
1237651249874534892,0.342623,0.170074,100,26.0542,7,1237661355935072467,0.19406,1237655693552452257,0.32764,41.2886,1810.19,1.54431,0.245183,35,22.3432,22.0152,21.3032,21.0962,20.8072,-0.334,0.086,-0.239,-0.318,-0.452,-0.263,0.12,-0.214,-0.127,-0.323,-18.7415,-19.47,-19.6186,-19.8401,-19.9135
1237651271897514660,0.247129,0.143621,100,642.2211,-7,1237655474507809039,0.41929,1237657192519172169,0.298313,40.4685,1240.8,4.03141,1.97752,1,25.189,23.437,21.994,21.471,21.133,0.841,0.759,0.099,-0.056,-0.107,0.62,0.543,0.088,-0.036,-0.044,-15.9004,-18.1728,-18.867,-18.6969,-21.118
1237651539243041178,0.409105,0.028599,99,0.098774,1,1237663789025788753,0.395246,1237651538181358045,0.40247,41.7433,2231.84,3.56388,0.344111,7,23.2252,21.8472,20.1972,19.4942,19.0432,0.897,1.189,0.355,0.041,-0.102,0.703,0.967,0.329,0.053,-0.051,-19.6318,-20.8369,-21.962,-22.2643,-22.5243
1237651735230481284,0.57455,0.042455,99,0.03707,-4,1237661958294143636,0.608186,1237661150841143996,0.586599,42.6318,3360.21,23.5717,1.23481,8,24.8351,23.1011,21.5961,20.6041,20.1491,1.633,1.433,0.624,-0.047,-0.257,1.414,1.259,0.638,-0.002,-0.17,-18.6334,-21.8891,-21.7346,-22.1271,-22.3113
