specobjid,objid,dr7objid,ra,dec,rastring,decstring,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg,p_cs,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
370596201071929344,1237650371017900156,587724649792995499,177.959,-2.2525,11:51:50.17,-02:15:09.0,32,0.843999981880188,0,0,0.0939999967813492,0.061999998986721,0,0.0939999967813492,0.782000005245209,0.152999997138977,0,0,1
458393849857861632,1237663784214135181,588015509286158434,38.29579,0.06741667,02:33:10.99,+00:04:02.7,25,0.560000002384186,0.200000002980232,0,0.159999996423721,0.0799999982118607,0,0.360000014305115,0.488999992609024,0.428999990224838,0,0,1
720749974635177984,1237652600102584566,587726878877679888,322.4779,-7.125834,21:29:54.69,-07:07:33.0,34,0.146999999880791,0,0.441000014543533,0.352999985218048,0.0590000003576279,0,0.794000029563904,0.0219999998807907,0.912000000476837,1,0,0
514682524367087616,1237679437744636049,587724242301354100,43.95208,-7.080167,02:55:48.50,-07:04:48.6,33,0.303000003099442,0.0299999993294477,0,0.575999975204468,0.0610000006854534,0.0299999993294477,0.606000006198883,0.108000002801418,0.783999979496002,0,0,1
2290101909144496128,1237665017387417786,587739296162513058,168.0797,34.54856,11:12:19.12,+34:32:54.8,28,0.679000020027161,0,0,0.214000001549721,0.10700000077486,0,0.214000001549721,0.632000029087067,0.25900000333786,0,0,1
859111969074997248,1237654652566175884,587728931341271180,130.636,45.16125,08:42:32.65,+45:09:40.5,52,0.481000006198883,0.0579999983310699,0.0379999987781048,0.153999999165535,0.25,0.0189999993890524,0.25,0.407999992370605,0.312999993562698,0,0,1
1523402549065967616,1237661871881584833,588017625633390837,228.2581,35.29219,15:13:01.95,+35:17:31.9,65,0.215000003576279,0,0.523000001907349,0.153999999165535,0.108000002801418,0,0.676999986171722,0.0280000008642673,0.841000020503998,1,0,0
2443335079133472768,1237665532796010823,587739719772078371,238.576,18.07811,15:54:18.24,+18:04:41.2,34,0.675999999046326,0.028999999165535,0.0590000003576279,0.118000000715256,0.118000000715256,0,0.206000000238419,0.544000029563904,0.324999988079071,0,0,1
2670662404915881984,1237667734495428816,587742013270524095,152.4679,18.63583,10:09:52.29,+18:38:09.0,74,0.188999995589256,0.0140000004321337,0.703000009059906,0.0949999988079071,0,0,0.810999989509583,0.111000001430511,0.888999998569489,1,0,0
3099695148427143168,1237668350289707035,587742629064802346,229.5521,13.17789,15:18:12.50,+13:10:40.4,30,0.699999988079071,0,0.0329999998211861,0.266999989748001,0,0,0.300000011920929,0.483000010251999,0.517000019550323,0,0,1
313091190566184960,1237674651533377734,587722984418508935,166.5163,0.8795834,11:06:03.90,+00:52:46.5,27,0.814999997615814,0,0,0.0740000009536743,0.111000001430511,0,0.0740000009536743,0.481000006198883,0.28099998831749,0,0,1
443760724347480064,1237663785276997825,588015510349021291,13.46971,1.007944,00:53:52.73,+01:00:28.6,60,0.333000004291534,0.017000000923872,0.116999998688698,0.382999986410141,0.150000005960464,0,0.517000019550323,0.144999995827675,0.679000020027161,0,0,1
2084126548595599360,1237664852580303057,587739131355398349,238.7337,23.7925,15:54:56.10,+23:47:33.0,66,0.166999995708466,0,0.787999987602234,0.0299999993294477,0.0149999996647239,0,0.818000018596649,0.0299999993294477,0.953000009059906,1,0,0
2420804997022246912,1237665549430554921,587739828205650083,224.5189,22.00844,14:58:04.54,+22:00:30.4,57,0.50900000333786,0.140000000596046,0,0.24600000679493,0.104999996721745,0,0.386000007390976,0.149000003933907,0.688000023365021,0,0,1
2371245596557207552,1237665128536997962,587739407312093284,165.8198,33.50367,11:03:16.76,+33:30:13.2,55,0.782000005245209,0,0.0359999984502792,0.0359999984502792,0.144999995827675,0,0.0729999989271164,0.782000005245209,0.0729999989271164,0,0,1
2372413279113865216,1237665127464370285,587739406239465579,168.9994,33.28781,11:15:59.85,+33:17:16.1,59,0.796999990940094,0,0,0.0850000008940697,0.119000002741814,0,0.0850000008940697,0.639999985694885,0.207000002264977,0,0,1
2739464895652194304,1237667730736939196,587744728222793987,135.0194,14.76325,09:00:04.65,+14:45:47.7,43,0.767000019550323,0.0469999983906746,0.0469999983906746,0.0700000002980232,0.0700000002980232,0,0.163000002503395,0.45100000500679,0.430999994277954,0,0,1
882750645981964288,1237655463771832563,588011217523638514,199.9556,61.02703,13:19:49.35,+61:01:37.3,37,0.377999991178513,0,0.135000005364418,0.405000001192093,0.0810000002384186,0,0.541000008583069,0.125,0.771000027656555,1,0,0
1325270274517526528,1237652599029825947,587726877804921202,324.6498,-8.225917,21:38:35.95,-08:13:33.3,27,0.481000006198883,0.111000001430511,0.185000002384186,0.148000001907349,0.0740000009536743,0,0.444000005722046,0.314000010490417,0.602999985218048,0,0,1
