cntr,ra,dec,sigra,sigdec,sigradec,wx,wy,coadd_id,src,rchi2,xsc_prox,tmass_key,r_2mass,pa_2mass,n_2mass,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,rho12,rho23,rho34,q12,q23,q34,blend_ext_flags,w1mpro,w1sigmpro,w1snr,w1rchi2,w1sat,w1nm,w1m,w1cov,w1frtr,w1flux,w1sigflux,w1sky,w1sigsky,w1conf,w1mag,w1sigmag,w1mcor,w1magp,w1sigp1,w1sigp2,w1dmag,w1mjdmin,w1mjdmax,w1mjdmean,w1rsemi,w1ba,w1pa,w1gmag,w1siggmag,w1flg,w1gflg,ph_qual_det1,w1ndf,w1mlq,w1cc_map,var_flg1,moon_lev1,satnum1,w2mpro,w2sigmpro,w2snr,w2rchi2,w2sat,w2nm,w2m,w2cov,w2frtr,w2flux,w2sigflux,w2sky,w2sigsky,w2conf,w2mag,w2sigmag,w2mcor,w2magp,w2sigp1,w2sigp2,w2dmag,w2mjdmin,w2mjdmax,w2mjdmean,w2rsemi,w2ba,w2pa,w2gmag,w2siggmag,w2flg,w2gflg,ph_qual_det2,w2ndf,w2mlq,w2cc_map,var_flg2,moon_lev2,satnum2,w3mpro,w3sigmpro,w3snr,w3rchi2,w3sat,w3nm,w3m,w3cov,w3frtr,w3flux,w3sigflux,w3sky,w3sigsky,w3conf,w3mag,w3sigmag,w3mcor,w3magp,w3sigp1,w3sigp2,w3dmag,w3mjdmin,w3mjdmax,w3mjdmean,w3rsemi,w3ba,w3pa,w3gmag,w3siggmag,w3flg,w3gflg,ph_qual_det3,w3ndf,w3mlq,w3cc_map,var_flg3,moon_lev3,satnum3,w4mpro,w4sigmpro,w4snr,w4rchi2,w4sat,w4nm,w4m,w4cov,w4frtr,w4flux,w4sigflux,w4sky,w4sigsky,w4conf,w4mag,w4sigmag,w4mcor,w4magp,w4sigp1,w4sigp2,w4dmag,w4mjdmin,w4mjdmax,w4mjdmean,w4rsemi,w4ba,w4pa,w4gmag,w4siggmag,w4flg,w4gflg,ph_qual_det4,w4ndf,w4mlq,w4cc_map,var_flg4,moon_lev4,satnum4,w1mag_1,w1sigmag_1,w1flg_1,w1mag_2,w1sigmag_2,w1flg_2,w1mag_3,w1sigmag_3,w1flg_3,w1mag_4,w1sigmag_4,w1flg_4,w1mag_5,w1sigmag_5,w1flg_5,w1mag_6,w1sigmag_6,w1flg_6,w1mag_7,w1sigmag_7,w1flg_7,w1mag_8,w1sigmag_8,w1flg_8,w2mag_1,w2sigmag_1,w2flg_1,w2mag_2,w2sigmag_2,w2flg_2,w2mag_3,w2sigmag_3,w2flg_3,w2mag_4,w2sigmag_4,w2flg_4,w2mag_5,w2sigmag_5,w2flg_5,w2mag_6,w2sigmag_6,w2flg_6,w2mag_7,w2sigmag_7,w2flg_7,w2mag_8,w2sigmag_8,w2flg_8,w3mag_1,w3sigmag_1,w3flg_1,w3mag_2,w3sigmag_2,w3flg_2,w3mag_3,w3sigmag_3,w3flg_3,w3mag_4,w3sigmag_4,w3flg_4,w3mag_5,w3sigmag_5,w3flg_5,w3mag_6,w3sigmag_6,w3flg_6,w3mag_7,w3sigmag_7,w3flg_7,w3mag_8,w3sigmag_8,w3flg_8,w4mag_1,w4sigmag_1,w4flg_1,w4mag_2,w4sigmag_2,w4flg_2,w4mag_3,w4sigmag_3,w4flg_3,w4mag_4,w4sigmag_4,w4flg_4,w4mag_5,w4sigmag_5,w4flg_5,w4mag_6,w4sigmag_6,w4flg_6,w4mag_7,w4sigmag_7,w4flg_7,w4mag_8,w4sigmag_8,w4flg_8,glat,glon,rjce
1601241000337,0.613879,-2.1896791,0.565,0.5757,-0.1529,441.941,279.962,0000m016_ab41,337,0.9395,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,21,-5,-14,0,0,0,1,16.302,0.097,11.2,0.9542,0,7,11,10.821,0,47.796,4.2823,17.986,3.055,0,16.015,0.143,0.261,16.223,0.276,0.083,2.919,55367.62636863,55368.61858328,55368.15554907,9999,9999,9999,9999,9999,1,0,129,10,1,0,0,0,0,16.111,0.283,3.8,0.7745,0,1,11,10.838,0,22.684,5.9091,44.409,3.906,0.07,15.373,9999,0.319,16.156,1.173,0.354,3.324,55367.62636863,55368.61858328,55368.15554907,9999,9999,9999,9999,9999,32,0,2,7,0,0,16,0,0,12.122,0.348,3.1,0.9201,0,0,11,10.995,0,224.53,72.03,3327.084,30.683,0,11.475,9999,0.825,12.124,1.074,0.324,2.341,55367.62636863,55368.61858328,55368.15554907,9999,9999,9999,9999,9999,32,0,2,7,0,0,16,0,0,8.804,9999,0.6,1.128,0,0,11,11.353,0,11.13,18.273,1127.032,11.042,0.29,7.929,9999,0.576,10.165,3.999,1.206,2.771,55367.62636863,55368.61858328,55368.15554907,9999,9999,9999,9999,9999,32,0,16,4,0,0,16,0,0,16.742,0.16,1,16.276,0.143,1,15.99,0.143,1,15.731,0.143,1,15.512,0.143,1,15.354,0.143,1,15.194,0.143,1,14.944,0.143,1,16.1,9999,32,15.692,9999,32,15.366,9999,32,15.08,9999,32,15.504,9999,1,15.253,9999,1,15.169,9999,1,14.391,9999,32,12.78,9999,32,12.3,9999,32,11.95,9999,32,12.446,9999,1,12.243,9999,1,11.32,9999,32,11.215,9999,32,11.177,9999,32,9.155,9999,32,8.505,9999,32,7.998,9999,32,8.306,9999,1,7.975,9999,1,7.71,9999,1,7.461,9999,1,7.219,9999,1,-62.4398401504326,95.6681313883853,-13747.39
1601241000339,0.512444,-2.0330547,0.5986,0.6296,-0.1686,707.182,690.075,0000m016_ab41,339,0.9308,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,55,-13,-82,1,0,0,1,16.415,0.103,10.5,0.8673,0,5,11,11.857,0,43.064,4.1045,17.998,2.924,0,15.615,0.082,0.261,16.431,0.427,0.129,1.452,55367.62636863,55368.61858328,55368.07132103,9999,9999,9999,9999,9999,1,0,129,10,1,0,1,0,0,16.151,0.282,3.8,0.9563,0,0,11,11.869,0,21.852,5.6829,44.433,3.91,0,15.418,0.247,0.319,16.367,0.489,0.147,1.981,55367.62636863,55368.61858328,55368.07132103,9999,9999,9999,9999,9999,1,0,2,10,0,0,16,0,0,12.582,9999,0,0.995,0,0,11,11.935,0,2.1031,72.415,3323.94,30.909,0.262,12.077,0.508,0.825,16.299,9999,9999,2.588,55367.62636863,55368.61858328,55368.07132103,9999,9999,9999,9999,9999,1,0,16,5,0,0,16,0,0,9.052,9999,-0.4,0.9267,0,0,11,11.75,0,-7.2316,18.967,1125.234,10.952,0.521,7.506,9999,0.576,9999,9999,9999,3.841,55367.62636863,55368.61858328,55368.07132103,9999,9999,9999,9999,9999,32,0,16,4,0,0,16,0,0,16.621,0.117,1,15.876,0.082,1,15.297,0.082,1,14.9,0.082,1,14.664,0.082,1,14.535,0.082,1,14.463,0.082,1,14.425,0.082,1,16.493,0.356,1,15.737,0.247,1,15.116,0.247,1,14.662,0.247,1,14.407,0.247,1,14.295,0.247,1,14.275,0.247,1,14.311,0.247,1,12.776,9999,32,12.902,0.508,1,12.3,0.508,1,11.884,0.508,1,11.59,0.508,1,11.386,0.508,1,11.273,0.508,1,11.259,0.508,1,8.674,9999,32,8.082,9999,32,7.684,9999,32,7.508,9999,32,7.445,9999,32,8.052,9999,32,7.238,9999,32,7.039,9999,32,-62.2554752375863,95.606587497935,-13747.32
1601241000340,0.6612673,-2.0724679,0.5747,0.6124,-0.1456,317.842,586.79,0000m016_ab41,340,0.9358,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,58,-22,27,1,0,0,1,16.332,0.098,11,0.9534,0,8,11,10.874,0,46.461,4.2107,17.981,2.949,0,15.717,0.094,0.261,16.346,0.25,0.075,0.853,55367.75867244,55368.75088708,55368.23369964,9999,9999,9999,9999,9999,1,0,129,10,0,0,1,0,0,16.239,0.306,3.6,1.008,0,1,11,10.804,0,20.155,5.6744,44.337,3.907,0.121,15.814,0.362,0.319,16.224,1.238,0.373,2.738,55367.75867244,55368.75088708,55368.23369964,9999,9999,9999,9999,9999,1,0,2,8,0,0,16,0,0,12.606,9999,-0.4,0.9129,0,0,11,11,0,-32.209,71.891,3326.037,30.189,0,11.923,9999,0.825,14.724,7.367,2.221,2.032,55367.75867244,55368.75088708,55368.23369964,9999,9999,9999,9999,9999,32,0,16,4,0,0,16,0,0,8.832,9999,0.6,0.8902,0,0,11,11.003,0,10.197,18.136,1124.894,10.938,0,8.357,9999,0.576,11.123,9999,9999,3.236,55367.75867244,55368.75088708,55368.23369964,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,16.622,0.123,1,15.978,0.094,1,15.499,0.094,1,15.117,0.094,1,14.845,0.094,1,14.656,0.094,1,14.518,0.094,1,14.412,0.094,1,16.782,0.47,1,16.133,0.362,1,15.646,0.362,1,15.269,0.362,1,14.997,0.362,1,14.827,0.362,1,14.736,0.362,1,14.694,0.362,1,13.265,9999,32,12.748,9999,32,12.234,9999,32,11.794,9999,32,11.472,9999,32,11.973,9999,1,11.759,9999,1,11.621,9999,1,9.425,9999,32,8.933,9999,32,8.481,9999,32,8.118,9999,32,7.827,9999,32,7.599,9999,32,7.397,9999,32,7.225,9999,32,-62.3520114613756,95.8643599632535,-13746.78
1601241000341,0.707546,-2.1799869,0.5901,0.5913,-0.1644,196.888,305.266,0000m016_ab41,341,0.9188,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,-34,41,0,0,0,0,1,16.334,0.101,10.8,0.8366,0,7,11,10.901,0,46.378,4.2964,17.978,2.923,0,16.504,0.234,0.261,16.363,0.374,0.113,1.669,55367.75867244,55368.75088708,55368.25777802,9999,9999,9999,9999,9999,1,0,129,10,1,0,0,0,0,15.924,0.247,4.4,0.8752,0,0,11,10.804,0,26.948,6.1375,44.402,3.99,0.067,16.148,0.502,0.319,15.769,0.342,0.103,1.231,55367.75867244,55368.75088708,55368.25777802,9999,9999,9999,9999,9999,1,0,2,9,0,0,16,0,0,12.145,9999,1,0.9707,0,0,11,10.914,0,73.034,73.325,3327.56,30.334,0,11.936,9999,0.825,13.328,3.091,0.932,0.786,55367.75867244,55368.75088708,55368.25777802,9999,9999,9999,9999,9999,32,0,16,3,0,0,16,0,0,8.442,9999,1.6,1.011,0,0,11,10.951,0,29.634,18.477,1126.51,10.644,0.294,8.34,9999,0.576,9.337,2.377,0.717,2.736,55367.75867244,55368.75088708,55368.25777802,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,17.029,0.22,0,16.765,0.234,1,16.749,0.234,1,16.818,0.234,1,16.89,0.234,1,16.118,0.234,32,16.086,0.234,32,16.11,0.234,32,16.759,0.476,0,16.467,0.502,1,15.617,0.502,32,15.484,0.502,32,15.323,0.502,32,15.135,0.502,32,14.962,0.502,32,14.847,0.502,32,13.117,9999,32,12.761,9999,32,12.477,9999,32,12.247,9999,32,12.045,9999,32,11.865,9999,32,11.701,9999,32,11.547,9999,32,9.297,9999,32,8.916,9999,32,8.51,9999,32,8.108,9999,32,7.782,9999,32,7.501,9999,32,7.258,9999,32,7.047,9999,32,-62.4690474573214,95.8615599899858,-13746.32
1601241000342,0.6926583,-2.093987,0.5422,0.5689,-0.1501,235.738,530.427,0000m016_ab41,342,0.8448,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,-15,-26,-34,0,0,0,1,16.36,0.096,11.3,0.8385,0,9,12,11.948,0,45.306,4.0172,17.961,2.896,0.059,16.184,0.167,0.261,16.264,0.233,0.067,3.929,55367.75867244,55368.75088708,55368.22718999,9999,9999,9999,9999,9999,1,0,129,11,1,0,0,0,0,16.254,0.3,3.6,0.7091,0,0,12,12.292,0,19.87,5.4827,44.319,3.915,0,15.855,0.317,0.319,16.067,0.664,0.192,2.603,55367.75867244,55368.75088708,55368.22718999,9999,9999,9999,9999,9999,1,0,2,10,0,0,16,0,0,12.122,0.338,3.2,0.8292,0,0,12,12.106,0,224.4,69.808,3326.399,30.325,0.439,11.947,0.497,0.825,12.106,1.198,0.346,2.978,55367.75867244,55368.75088708,55368.22718999,9999,9999,9999,9999,9999,0,0,2,8,0,0,16,0,0,8.909,0.452,2.4,1.024,0,0,12,12.125,0,43.285,18.032,1126.123,11.002,0.684,8.848,9999,0.576,8.767,1.684,0.486,2.581,55367.75867244,55368.75088708,55368.22718999,9999,9999,9999,9999,9999,32,0,4,7,0,0,16,0,0,16.872,0.178,0,16.445,0.167,1,16.187,0.167,1,15.793,0.167,1,15.188,0.167,1,14.622,0.167,1,14.274,0.167,1,14.118,0.167,1,16.805,0.407,0,16.174,0.317,1,15.729,0.317,1,15.335,0.317,1,14.929,0.317,1,14.548,0.317,1,14.261,0.317,1,14.1,0.317,1,12.63,9999,32,12.772,0.497,0,12.312,0.497,1,12.03,0.497,1,11.83,0.497,1,11.67,0.497,1,11.541,0.497,1,11.433,0.497,1,8.995,9999,32,9.424,9999,32,8.363,9999,32,8.07,9999,32,7.809,9999,32,7.574,9999,32,7.358,9999,32,7.159,9999,32,-62.3843905429211,95.9074159633722,-13746.72
3101241000052,0.5407019,-3.7649368,0.1488,0.15,-0.0336,635.426,120.605,0000m031_ab41,52,0.9045,9999,1319880770,0.111,36,1,14.859,0.038,14.299,0.046,14.232,0.072,16,11,0,0,0,0,1,14.192,0.031,34.8,0.9466,0,12,12,11.899,0,333.48,9.5774,17.862,3.038,0.061,14.181,0.023,0.261,14.19,0.085,0.025,0.289,55366.96510454,55367.95731917,55367.47224776,9999,9999,9999,9999,9999,0,0,129,11,0,0,0,0,0,14.395,0.063,17.1,0.95,0,12,12,11.781,0,110.18,6.4288,44.17,3.815,0,14.555,0.137,0.319,14.403,0.19,0.055,0.655,55366.96510454,55367.95731917,55367.47224776,9999,9999,9999,9999,9999,0,0,1,11,0,0,0,0,0,12.429,9999,-1.7,0.8549,0,0,12,11.959,0,-144.98,84.565,3307.056,33.589,7.621,11.996,9999,0.825,9999,9999,9999,3.005,55366.96510454,55367.95731917,55367.47224776,9999,9999,9999,9999,9999,32,0,16,3,0,0,16,0,0,8.787,9999,-3.1,0.8865,0,0,12,12.193,0,-75.099,24.221,1111.407,12.602,4.404,8.15,9999,0.576,9999,9999,9999,9999,55366.96510454,55367.95731917,55367.47224776,9999,9999,9999,9999,9999,32,0,16,0,0,0,16,0,0,14.802,0.025,0,14.442,0.023,0,14.329,0.023,1,14.302,0.023,1,14.302,0.023,1,14.299,0.023,1,14.292,0.023,1,14.31,0.023,1,15.22,0.136,0,14.874,0.137,0,14.855,0.137,1,14.972,0.137,1,15.15,0.137,1,15.39,0.137,1,14.768,0.137,32,14.91,0.137,32,13.182,9999,32,12.821,9999,32,12.541,9999,32,12.119,9999,32,11.616,9999,32,11.224,9999,32,11.628,9999,1,11.397,9999,1,9.245,9999,32,8.726,9999,32,8.295,9999,32,8.023,9999,32,7.812,9999,32,7.832,9999,32,7.459,9999,32,7.26,9999,32,-63.8393703445417,94.0591791204578,1.048363
3101241000053,0.63169,-3.7196224,0.1539,0.1521,-0.0365,397.644,239.11,0000m031_ab41,53,1.032,9999,1319887981,0.24,109.8,1,15.335,0.049,14.594,0.059,14.423,0.074,14,-1,-8,0,0,0,1,14.33,0.032,34.3,0.952,0,12,12,11.869,0,293.65,8.5612,17.88,2.978,0,14.324,0.035,0.261,14.333,0.081,0.024,0.261,55367.09740833,55368.08962297,55367.56595763,9999,9999,9999,9999,9999,0,0,129,11,0,0,0,0,0,14.284,0.06,18.1,0.9595,0,12,12,11.778,0,122.06,6.7553,44.123,3.927,0.09,14.25,0.076,0.319,14.282,0.249,0.072,0.736,55367.09740833,55368.08962297,55367.56595763,9999,9999,9999,9999,9999,0,0,1,11,1,0,0,0,0,12.496,9999,-1.6,0.7872,0,0,12,11.833,0,-124.64,79.508,3306.55,32.44,5.18,12.187,9999,0.825,9999,9999,9999,1.549,55367.09740833,55368.08962297,55367.56595763,9999,9999,9999,9999,9999,32,0,16,3,0,0,16,0,0,8.268,9999,1.2,1.445,0,2,12,11.907,0,28.909,24.612,1110.924,12.068,4.76,7.753,9999,0.576,8.116,2.532,0.731,3.183,55367.09740833,55368.08962297,55367.56595763,9999,9999,9999,9999,9999,32,0,16,4,4,0,16,0,0,14.951,0.036,0,14.585,0.035,0,14.46,0.035,1,14.412,0.035,1,14.381,0.035,1,14.34,0.035,1,14.269,0.035,1,14.152,0.035,1,15.036,0.085,0,14.569,0.076,0,14.388,0.076,1,14.324,0.076,1,14.282,0.076,1,14.204,0.076,1,14.079,0.076,1,13.92,0.076,1,13.371,9999,32,13.012,9999,32,12.729,9999,32,12.495,9999,32,12.298,9999,32,12.824,9999,32,11.862,9999,32,11.613,9999,32,8.805,9999,32,8.329,9999,32,7.942,9999,32,7.544,9999,32,7.15,9999,32,7.496,9999,1,6.88,9999,1,6.298,9999,1,-63.8373984745915,94.2892852722307,0.5071619
3101241000054,0.6559292,-3.5757853,0.1469,0.1438,-0.0327,334.047,615.642,0000m031_ab41,54,0.9712,9999,1319888224,0.199,-154,1,15.108,0.041,14.549,0.059,14.178,0.063,7,18,48,0,0,0,1,14.19,0.03,36,0.9088,0,12,12,11.831,0,334.16,9.2915,17.918,2.976,0.092,14.121,0.022,0.261,14.189,0.064,0.019,0.209,55367.09740833,55368.22192674,55367.65966749,9999,9999,9999,9999,9999,0,0,129,11,0,0,0,0,0,14.217,0.057,19,1.045,0,12,12,11.824,0,129.76,6.8353,44.114,3.946,0.037,14.239,0.092,0.319,14.23,0.248,0.072,0.747,55367.09740833,55368.22192674,55367.65966749,9999,9999,9999,9999,9999,0,0,1,11,1,0,1,0,0,12.577,0.539,2,1.053,0,0,12,11.707,0,147.58,73.277,3308.656,29.907,1.765,11.963,9999,0.825,12.475,2.108,0.609,2.471,55367.09740833,55368.22192674,55367.65966749,9999,9999,9999,9999,9999,32,0,4,7,0,0,16,0,0,8.168,9999,2,0.9025,0,0,12,11.718,0,42.701,21.501,1114.068,11.836,3.24,7.725,9999,0.576,8.321,1.017,0.294,1.998,55367.09740833,55368.22192674,55367.65966749,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,14.779,0.024,0,14.382,0.022,0,14.205,0.022,1,14.067,0.022,1,13.868,0.022,1,13.591,0.022,1,13.35,0.022,1,13.213,0.022,1,15.007,0.1,0,14.558,0.092,0,14.375,0.092,1,14.266,0.092,1,14.108,0.092,1,13.883,0.092,1,13.686,0.092,1,13.591,0.092,1,13.087,9999,32,12.788,9999,32,12.52,9999,32,12.159,9999,32,11.816,9999,32,11.556,9999,32,11.367,9999,32,11.248,9999,32,8.82,9999,32,8.301,9999,32,8.673,9999,1,7.705,9999,32,7.504,9999,32,7.277,9999,32,7.054,9999,32,6.837,9999,32,-63.7175878366776,94.4775478518721,0.5719801
3101241000058,0.5447622,-3.5464787,0.13,0.13,-0.0305,624.475,692.528,0000m031_ab41,58,0.9823,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,-13,14,55,0,0,1,1,14.428,0.032,33.5,1.127,0,11,11,10.853,0,268.42,8.021,17.859,2.871,0,14.347,0.051,0.261,14.429,0.059,0.018,0.21,55367.09740833,55368.08962297,55367.57847819,9999,9999,9999,9999,9999,0,0,129,10,0,0,0,0,0,13.292,0.036,30.5,0.7624,0,11,11,10.84,0,304.33,9.964,44.189,4.064,0.15,13.276,0.053,0.319,13.295,0.044,0.013,0.275,55367.09740833,55368.08962297,55367.57847819,9999,9999,9999,9999,9999,0,0,1,10,0,0,0,0,0,10.035,0.057,19.1,1.002,0,11,11,10.897,0,1534.8,80.205,3309.261,29.407,0,10.192,0.128,0.825,9.992,0.139,0.042,0.747,55367.09740833,55368.08962297,55367.57847819,9999,9999,9999,9999,9999,0,0,1,10,0,0,1,0,0,7.385,0.127,8.6,1.052,0,4,11,10.97,0,176.23,20.547,1111.804,10.798,1.31,7.683,0.327,0.576,7.353,0.468,0.141,2.871,55367.09740833,55368.08962297,55367.57847819,9999,9999,9999,9999,9999,1,0,2,10,1,0,1,0,0,15.01,0.055,0,14.608,0.051,0,14.477,0.051,1,14.449,0.051,1,14.449,0.051,1,14.447,0.051,1,14.432,0.051,1,14.394,0.051,1,14.057,0.06,0,13.595,0.053,0,13.411,0.053,1,13.343,0.053,1,13.321,0.053,1,13.328,0.053,1,13.352,0.053,1,13.361,0.053,1,11.585,0.157,0,11.017,0.128,0,10.722,0.128,1,10.564,0.128,1,10.478,0.128,1,10.431,0.128,1,10.392,0.128,1,10.359,0.128,1,8.709,0.332,1,8.259,0.327,1,8.035,0.327,1,7.933,0.327,1,7.9,0.327,1,7.039,0.327,32,6.988,0.327,32,6.943,0.327,32,-63.6437868021913,94.2793429436761,-13750.27
3101241000059,0.4754996,-3.693702,0.1561,0.1554,-0.025,805.663,307.176,0000m031_ab41,59,0.9415,9999,716178973,0.063,-110,1,15.24,0.054,14.462,0.052,14.151,0.069,-37,17,0,1,0,0,1,14.29,0.031,34.5,1.036,0,11,11,10.81,0,304.71,8.8323,17.836,2.947,0,14.258,0.031,0.261,14.273,0.073,0.022,0.314,55366.96510454,55367.95731917,55367.44617442,9999,9999,9999,9999,9999,1,0,129,10,0,0,1,0,0,14.331,0.064,16.9,0.9115,0,11,11,10.722,0,116.86,6.9145,44.209,3.922,0,14.327,0.102,0.319,14.287,0.143,0.043,0.791,55366.96510454,55367.95731917,55367.44617442,9999,9999,9999,9999,9999,1,0,1,10,0,0,1,0,0,12.37,9999,-1.2,0.933,0,0,11,10.954,0,-107.59,89.357,3313.249,33.504,7.368,11.832,9999,0.825,9999,9999,9999,2.54,55366.96510454,55367.95731917,55367.44617442,9999,9999,9999,9999,9999,32,0,16,1,1,0,16,0,0,8.872,9999,-0.8,0.9077,0,0,11,10.891,0,-18.084,22.406,1111.337,11.979,3.369,8.128,9999,0.576,9.961,6.555,1.976,0.427,55366.96510454,55367.95731917,55367.44617442,9999,9999,9999,9999,9999,32,0,16,2,0,0,16,0,0,14.898,0.033,0,14.519,0.031,1,14.37,0.031,1,14.282,0.031,1,14.201,0.031,1,14.097,0.031,1,13.918,0.031,1,13.575,0.031,1,15.09,0.111,0,14.646,0.102,1,14.438,0.102,1,14.29,0.102,1,14.169,0.102,1,14.048,0.102,1,13.853,0.102,1,13.517,0.102,1,13.032,9999,32,12.657,9999,32,12.364,9999,32,12.03,9999,32,11.695,9999,32,11.431,9999,32,11.272,9999,32,11.17,9999,32,9.181,9999,32,8.704,9999,32,8.396,9999,32,8.077,9999,32,7.767,9999,32,7.544,9999,32,7.343,9999,32,7.123,9999,32,-63.7470461380251,93.9957761759202,0.9719544
3101241000061,0.6608666,-3.6900914,0.1769,0.1775,-0.0429,321.363,316.377,0000m031_ab41,61,1.085,9999,1319888045,0.568,-177.2,1,15.242,0.039,14.572,0.061,14.521,0.087,41,24,80,1,0,1,1,14.465,0.034,31.6,1.269,0,11,11,10.794,0,259.38,8.201,17.917,2.899,0,14.344,0.039,0.261,14.442,0.076,0.023,0.364,55367.09740833,55368.08962297,55367.60855302,9999,9999,9999,9999,9999,0,0,129,10,0,0,1,0,0,14.73,0.089,12.2,0.88,0,8,11,10.881,0,80.932,6.6375,44.167,4.072,0.217,14.617,0.137,0.319,14.734,0.312,0.094,0.963,55367.09740833,55368.08962297,55367.60855302,9999,9999,9999,9999,9999,0,0,1,10,0,0,1,0,0,12.116,9999,0.8,0.9164,0,0,11,10.957,0,64.485,80.58,3309.871,32.45,4.246,11.353,9999,0.825,12.929,3.375,1.018,1.541,55367.09740833,55368.08962297,55367.60855302,9999,9999,9999,9999,9999,32,0,16,5,0,0,16,0,0,8.187,0.277,3.9,1.301,0,1,11,10.933,0,84.169,21.507,1111.394,11.41,2.536,8.229,0.456,0.576,8.369,0.785,0.237,2.979,55367.09740833,55368.08962297,55367.60855302,9999,9999,9999,9999,9999,1,0,2,10,0,0,16,0,0,15.035,0.042,0,14.605,0.039,0,14.401,0.039,1,14.254,0.039,1,14.107,0.039,1,13.952,0.039,1,13.798,0.039,1,13.664,0.039,1,15.445,0.157,0,14.936,0.137,0,14.689,0.137,1,14.519,0.137,1,14.336,0.137,1,14.126,0.137,1,13.935,0.137,1,13.776,0.137,1,12.676,9999,32,12.178,9999,32,11.902,9999,32,11.734,9999,32,11.62,9999,32,11.507,9999,32,11.336,9999,32,11.14,9999,32,9.415,0.535,1,8.805,0.456,1,8.371,0.456,1,7.868,0.456,1,7.416,0.456,1,7.08,0.456,1,6.803,0.456,1,6.614,0.456,1,-63.8231230112231,94.3775692629401,0.8518148
1601241000343,0.6853801,-2.2214192,0.5648,0.5628,-0.1519,254.924,196.814,0000m016_ab41,343,0.9812,9999,0,9999,9999,0,9999,9999,9999,9999,9999,9999,36,-19,1,0,0,0,1,16.283,0.094,11.6,0.938,0,8,11,10.892,0,48.632,4.1963,18.007,2.803,0,16.477,0.248,0.261,16.307,0.374,0.113,1.451,55367.62636863,55368.75088708,55368.19765151,9999,9999,9999,9999,9999,0,0,129,10,1,0,0,0,0,16.115,0.28,3.9,0.9938,0,1,11,10.828,0,22.59,5.8323,44.406,4.132,0,15.393,9999,0.319,16.285,1.441,0.434,3.016,55367.62636863,55368.75088708,55368.19765151,9999,9999,9999,9999,9999,32,0,2,8,1,0,16,0,0,12.131,9999,1.1,1.049,0,0,11,10.857,0,77.238,72.704,3324.774,30.236,0,11.795,9999,0.825,13.265,3.667,1.106,5.208,55367.62636863,55368.75088708,55368.19765151,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,9.031,9999,0.1,0.9671,0,0,11,10.847,0,1.9746,18.362,1126.418,10.887,0.844,7.965,9999,0.576,11.028,9999,9999,2.127,55367.62636863,55368.75088708,55368.19765151,9999,9999,9999,9999,9999,32,0,16,6,0,0,16,0,0,17.005,0.228,0,16.738,0.248,0,16.782,0.248,1,16.933,0.248,1,16.194,0.248,32,15.98,0.248,32,16.249,0.248,1,15.716,0.248,1,16.068,9999,32,15.712,9999,32,15.53,9999,32,15.409,9999,32,15.354,9999,32,15.319,9999,32,15.273,9999,32,16.493,9999,32,13.134,9999,32,12.62,9999,32,12.184,9999,32,11.789,9999,32,12.198,9999,1,11.897,9999,1,11.624,9999,1,11.349,9999,1,8.972,9999,32,8.541,9999,32,8.196,9999,32,7.902,9999,32,7.642,9999,32,7.407,9999,32,7.192,9999,32,6.993,9999,32,-62.4979238616508,95.7813455150014,-13747.36
