10,"ALL;count(*), galspecline;from, galspecline.h_beta_eqw;where_<, galspecline.h_beta_eqw;where_>, galspecline.h_beta_flux_err;where_>, galspecline.h_alpha_flux_err;where_>, specobj.specobjid = galspecline.specobjid;join"
1,"ALL;count(*), mangapipe3d;from, mangapipe3d.log_mass_gas;where_="
2,"photoobj;from, photoobj.objid;count, photoobj.ra;where_<=, photoobj.ra;where_>=, photoobj.dec;where_<=, photoobj.dec;where_>=, specobj.targetobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.class;where_=, photoobj.petrorad_r;where_>, specobj.bestobjid = photoobj.objid;join"
1,"galaxy;from, galaxy.objid;count, galaxy.clean;where_=, zoonospec.p_cw;where_>, zoonospec.p_acw;where_>, zoonospec.nvote;where_>=, galaxy.objid = zoonospec.objid;join"
10,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.mode;where_=, specphoto.type;where_=, specphoto.class;where_=, zoospec.uncertain;where_=, zoospec.specobjid = specphoto.specobjid;join, stellarmassfspsgranearlydust.specobjid = specphoto.specobjid;join"
1,"ALL;count(*), mangadapall;from, mangadapall.daptype;where_=, mangadapall.sfr_1re;where_>, pawlikmorph.mangaid = mangadapall.mangaid;join, mangagalaxyzoo.mangaid = mangadapall.mangaid;join"
7,"ALL;count(*), photoobj;from, photoobj.mode;where_=, photoobj.type;where_=, specobj.class;where_=, specobj.bestobjid = photoobj.objid;join"
2,"ALL;count(*), photoobj;from, photoobj.dec;where_>, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, photoobj.r;where_<, photoobj.r;where_>, specobj.class;where_=, photoobj.petrorad_r;where_>, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, zoospec.p_el;where_>, photoobj.type;where_=, specobj.class;where_=, zoospec.objid = photoobj.objid;join, specobj.bestobjid = photoobj.objid;join"
1,"galaxy;from, ALL;count(*), specphoto.class;where_=, zoospec.objid = galaxy.objid;join, specphoto.specobjid = galaxy.objid;join"
2,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, zoospec.spiral;where_=, nsatlas.sersic_n;where_<, nsatlas.z = specobj.z;join, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_>=, specobj.bestobjid = photoobj.objid;join, stellarmassfspsgranwidedust.ssfr;where_=, zoospec.specobjid = specobj.specobjid;join, stellarmassfspsgranwidedust.specobjid = specobj.specobjid;join"
14,"galaxy;from, galaxy.ra;where_<=, galaxy.ra;where_>=, specobj.z;where_<=, specobj.z;where_>=, galaxy.dec;where_<=, galaxy.dec;where_>=, galaxy.petrorad_u;avg, specobj.class;where_=, galaxy.petrorad_u;count, specobj.zwarning;where_=, galaxy.petromag_u;where_>, specobj.bestobjid = galaxy.objid;join"
3,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, photoobj.devrad_r;where_>, nsatlas.z = specobj.z;join, nsatlas.sersic_mass;where_>, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_>=, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join"
8,"ALL;count(*), photoobj;from, specobj.z;where_>, photoobj.g;where_>, photoobj.r;where_>, specobj.class;where_=, specobj.subclass;where_=, photoobj.petror50_g;where_>, photoobj.petror50_r;where_>, photoobj.petrorad_g;where_<, photoobj.petrorad_r;where_<, galspecline.h_alpha_eqw;where_<, galspecline.h_alpha_flux;where_>, galspecline.nii_6584_flux;where_>, specobj.bestobjid = photoobj.objid;join, specobj.specobjid = galspecline.specobjid;join"
1,"ALL;count(*), specphotoall;from, specphotoall.z;where_<, specphotoall.z;where_>, specphotoall.ra;where_<, specphotoall.ra;where_>, specphotoall.dec;where_<, specphotoall.dec;where_>, specphotoall.mode;where_=, specphotoall.type;where_=, specphotoall.class;where_=, specphotoall.petromag_r;where_<, specphotoall.petromag_r;where_>=, photoz.objid = specphotoall.objid;join"
4,"ALL;count(*), photoobj;from, specobj.bestobjid = photoobj.objid;join, specobj.specobjid = galspecline.specobjid;join"
1,"photoobjall;from, photoobjall.objid;count, photoobjall.objid = specobjall.bestobjid;join"
2,"ALL;count(*), photoobj;from, photoobj.u;where_<=, photoobj.u;where_>=, specobj.bestobjid = photoobj.objid;join"
2,"ALL;count(*), stellarmassfspsgranearlydust;from, specphoto.specobjid = stellarmassfspsgranearlydust.specobjid;join"
1,"photoz;from, ALL;count(*), photoz.z;where_>, photoobj.dec;where_<=, photoobj.dec;where_>=, photoz.objid = photoobj.objid;join"
1,"ALL;count(*), galspecline;from, specobjall.z;where_<, specobjall.class;where_=, specobjall.snmedian;where_>, specobjall.zwarning;where_=, specobjall.specobjid = galspecline.specobjid;join"
1,"ALL;count(*), specphoto.z;where_<=, specphoto.z;where_>=, zoospec.elliptical;where_=, stellarmassfspsgranearlydust;from, zoospec.specobjid = stellarmassfspsgranearlydust.specobjid;join, specphoto.specobjid = stellarmassfspsgranearlydust.specobjid;join"
1,"photoobj;from, photoobj.dec;where_<, photoobj.dec;where_>, photoobj.objid;count, photoobj.fibermag_r;avg, photoobj.fibermag_r;where_>, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.veldisp;where_>, nsatlas.sersic_ba;where_>, nsatlas.z = specobj.z;join, zoospec.elliptical;where_=, nsatlas.sersic_mass;where_<, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_<=, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join"
1,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.mode;where_=, specphoto.type;where_=, specphoto.class;where_=, zoospec.uncertain;where_=, photoz.objid = specphoto.specobjid;join, zoospec.specobjid = specphoto.specobjid;join, stellarmassfspsgranearlydust.specobjid = specphoto.specobjid;join"
2,"ALL;count(*), specobj;from, specobj.class;where_=, specobj.subclass;where_=, specobj.targetobjid = photoobjdr7.dr7objid;join"
4,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.mode;where_=, specphoto.type;where_=, specphoto.class;where_=, specphoto.modelmag_r;where_<, zoospec.specobjid = specphoto.specobjid;join"
16,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.snmedian;where_>, specobj.subclass;where_=, specobj.zwarning;where_=, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.zwarning;where_=, specobj.bestobjid = photoobj.objid;join, specobj.specobjid = galspecline.specobjid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, zoospec.p_el;where_>, photoobj.type;where_=, specobj.class;where_=, photoz.absmagr;where_<, photoobj.petromag_r;where_<, photoz.objid = photoobj.objid;join, zoospec.objid = photoobj.objid;join, specobj.bestobjid = photoobj.objid;join"
2,"galaxy;from, galaxy.objid;count, galaxy.clean;where_=, zoonospec.p_el;where_>, zoonospec.nvote;where_>=, galaxy.objid = zoonospec.objid;join"
8,"ALL;count(*), photoobj;from, specobj.z;where_<, photoobj.type;where_=, specobj.class;groupBy, photoobj.objid = specobj.bestobjid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, nsatlas.sersic_ba;where_>, nsatlas.z = specobj.z;join, zoospec.elliptical;where_=, nsatlas.sersic_mass;where_>, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_<=, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join"
1,"ALL;count(*), specphotoall;from, specphotoall.z;where_<, specphotoall.z;where_>, specphotoall.type;where_=, specphotoall.class;where_=, specphotoall.petromag_r;where_<, specphotoall.petromag_r;where_>=, photoz.objid = specphotoall.objid;join"
2,"ALL;count(*), specphoto;from, photoz.objid = specphoto.specobjid;join"
2,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, photoobj.type;where_=, specobj.class;where_=, photoz.absmagr;where_<, photoobj.petromag_r;where_<, zoospec.p_el_debiased;where_>, photoz.objid = photoobj.objid;join, zoospec.objid = photoobj.objid;join, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<, specobj.class;where_=, photoobj.objid = specobj.bestobjid;join"
2,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.veldisp;where_>, nsatlas.sersic_ba;where_>, photoobj.devrad_r;where_>, nsatlas.z = specobj.z;join, zoospec.elliptical;where_=, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_<=, emissionlinesport.ew_ha_6562;where_>, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join, emissionlinesport.specobjid = specobj.specobjid;join"
1,"ALL;count(*), galspecindx;from, specobj.z;where_<=, specobj.z;where_>=, specobj.specobjid = galspecindx.specobjid;join, galspecextra.specobjid = specobj.specobjid;join"
2,"ALL;count(*), photoobj;from, specobj.z;where_<, specobj.class;where_=, specobj.bestobjid = photoobj.objid;join, specobj.specobjid = galspecline.specobjid;join"
5,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.snmedian;where_>, specobj.zwarning;where_=, emissionlinesport.aon_ha_6562;where_>, emissionlinesport.aon_hb_4861;where_>, emissionlinesport.aon_nii_6583;where_>, emissionlinesport.aon_oiii_5006;where_>, specobj.bestobjid = photoobj.objid;join, emissionlinesport.specobjid = specobj.specobjid;join"
3,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.veldisp;where_>, nsatlas.sersic_ba;where_>, nsatlas.z = specobj.z;join, zoospec.elliptical;where_=, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_<=, specobj.bestobjid = photoobj.objid;join, stellarmassfspsgranwidedust.ssfr;where_=, zoospec.specobjid = specobj.specobjid;join, stellarmassfspsgranwidedust.specobjid = specobj.specobjid;join"
1,"ALL;count(*), mangapipe3d;from, photoz.z;groupBy, specobjall.z;groupBy, specobjall.z;where_<=, specobjall.z;where_>=, specobjall.zerr;groupBy, nsatlas.sersic_n;groupBy, specobjall.class;where_=, mangapipe3d.ellip;groupBy, nsatlas.sersic_ba;groupBy, nsatlas.sersic_ba;where_>, nsatlas.sersic_n;where_<=, nsatlas.sersic_n;where_>=, photoobjall.objid;groupBy, mangapipe3d.re_arc;groupBy, mangapipe3d.re_kpc;groupBy, specobjall.veldisp;where_>, zoospec.elliptical;where_=, mangapipe3d.mangaid;groupBy, mangatarget.mangaid;groupBy, mangapipe3d.log_mass;groupBy, mangapipe3d.redshift;groupBy, photoobjall.devrad_r;groupBy, photoobjall.devrad_r;where_>, specobjall.specobjid;groupBy, photoobjall.fracdev_r;where_>, specobjall.z = nsatlas.z;join, mangapipe3d.e_log_mass;groupBy, zoospec.p_cs_debiased;where_<=, nsatlas.sersic_absmag_r;groupBy, nsatlas.sersic_absmag_r;where_>, photoobjall.devraderr_r;groupBy, galspecextra.sfr_tot_p50;groupBy, galspecextra.sfr_tot_p50;where_>, mangapipe3d.log_mass_gas;groupBy, mangapipe3d.log_mass_gas;where_>, photoobjall.devraderr_r;where_<=, photoobjall.devraderr_r;where_>=, mangapipe3d.e_log_mass_gas;where_>, galspecextra.specsfr_tot_p50;groupBy, galspecextra.specsfr_tot_p50;where_>, stellarmasspcawiscm11.warning;where_=, stellarmasspcawiscm11.vdisp_err;groupBy, photoz.objid = specobjall.bestobjid;join, mangadapall.objra = mangapipe3d.objra;join, nsatlas.nsaid = mangatarget.nsa_nsaid;join, stellarmasspcawiscm11.mstellar_err;groupBy, stellarmasspcawiscm11.vdisp_median;groupBy, stellarmasspcawiscm11.vdisp_median;where_>, photoobjall.objid = specobjall.bestobjid;join, stellarmasspcawiscm11.mstellar_median;groupBy, zoospec.specobjid = specobjall.specobjid;join, mangatarget.mangaid = mangatarget.mangaid;join, stellarmasspcawiscm11.mstellar_median;where_>=, galspecextra.specobjid = specobjall.specobjid;join, stellarmasspcawiscm11.specobjid = specobjall.specobjid;join"
2,"ALL;count(*), phototag;from, photoz.z;where_<=, photoz.z;where_>=, phototag.ra;where_<=, phototag.ra;where_>=, phototag.dec;where_<=, phototag.dec;where_>=, phototag.type;where_=, phototag.clean;groupBy, photoz.objid = phototag.objid;join"
1,"galaxy;from, ALL;count(*), specphoto.mode;where_=, specphoto.class;where_=, specphoto.specobjid = galaxy.objid;join"
1,"ALL;count(*), zoospec;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.class;where_=, specphoto.specobjid = zoospec.specobjid;join"
1,"ALL;count(*), photoobj;from, photoobj.type;where_=, specobj.class;where_=, photoz.objid = photoobj.objid;join, specobj.bestobjid = photoobj.objid;join"
1,"photoobj;from, photoobj.objid;count, specobj.class;where_=, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<, specobj.bestobjid = photoobj.objid;join"
1,"galaxy;from, ALL;count(*), galaxy.objid = zoonospec.objid;join"
