dec,ra
-0.925263834726569,22.3910778365997
-0.915375866711502,22.3977458821532
-1.03004876935606,22.4146626602231
-1.02666423533988,22.4089593648488
-0.967270083349767,22.4529633469149
-0.967031094521642,22.4497504938385
-0.995584850010123,22.4590326122033
-0.841381678506835,22.466278468475
-0.897502420081378,22.4753829208159
-0.990128295716661,22.4770486728602
22.681578646938,66.4181174233685
22.6843656727695,66.3000648254664
22.685372097303,66.3435208696044
22.6945437182512,66.3298569547102
22.6949498148158,66.3047167222972
22.6959144931441,66.3007546310427
22.6949603267902,66.3077082827467
22.6978518755823,66.4279281972563
19.3730971757866,329.001772470308
19.4455740881586,328.986455177705
19.5602434886927,328.960013506336
19.5355852331163,328.967609004075
19.384945223339,329.011616336947
19.3847933386599,329.0103431255
19.3826019807583,329.013743928929
19.3893220418906,329.01278584111
19.3870900833372,329.011301697378
19.3911863104098,329.013921029123
19.3791683881293,329.013093003648
9.54306762002793,82.8328222936157
9.54253615365937,82.8394560755693
9.54500772878535,82.8350952302565
9.52659400213384,82.8574263457675
9.53099051043711,82.8557709640612
9.53325701812969,82.863830151411
9.52970342233583,82.8641553114898
9.51994070649051,82.8611259756409
9.52199500549558,82.8503465705387
9.52778234653505,82.8544467877519
9.52266928463207,82.8511760827681
9.52476345475818,82.8642438342928
9.52900967291971,82.8603578245263
9.52424037227447,82.8910315632194
9.52619202432813,82.8968719262711
9.51949889705404,82.8917685181444
9.51760650722457,82.8976101067481
9.52347099716915,82.9051370392909
19.3759420722172,329.023394543696
19.3754126764998,329.021350555604
19.3742953586797,329.020721003002
19.5783558882259,328.9747959959
19.4854582131305,329.00183942917
19.4006969349502,329.026392559574
19.4390910664279,329.018496897907
19.5414061362156,328.995431411037
5.7745590967179,344.305003339036
5.77625424457482,344.305246682202
5.77933959160306,344.299615339405
5.77588854484843,344.303493556239
5.77118660573838,344.303868301586
5.77837257223962,344.307962772755
5.77669041643619,344.307083787349
5.77168144357829,344.307997308572
5.77230666539117,344.307269414235
5.84215334873094,344.304155564617
5.85443051842491,344.304646394253
5.9483334346893,344.302613322481
5.89566284825328,344.312969209667
5.89793863190032,344.307970979258
5.89636505178106,344.305497439294
5.89799926342129,344.30653302372
5.89680606320458,344.30912845005
5.89708633269111,344.310814683412
-1.02709909387491,238.593805322772
-1.15102942345619,238.608517112567
-1.15362180137272,238.610664767723
-1.15193576292101,238.610172139805
-1.15461589710016,238.607694002518
-0.966861949234277,238.611385489279
-1.03591114553606,238.614210658705
-1.02845940081016,238.627708039414
-0.968730609358792,238.628141817686
-0.971038643981688,238.628387464919
-0.969439676714023,238.638927431071
-6.94920124387869,350.334944684731
-6.9461396072708,350.333332062783
-6.95272973114653,350.333129407866
-6.94139352350338,350.352113798234
-6.93973970514397,350.362262658096
-6.9423364945598,350.366792566471
-6.94233774670129,350.365069294668
-6.86772562512949,350.368221448518
-6.8447721243373,350.388584808634
-6.84498361939383,350.384689989608
5.75924777249262,344.244919172503
5.91235921874129,344.240379447386
5.89086411625675,344.242330540924
5.89026948748062,344.240835549598
5.89033020264449,344.243854837183
5.8898602979349,344.244941569849
5.89185021388369,344.240346108647
5.86618882223592,344.254057029625
28.6154478670693,249.871520490786
28.6077963913286,249.856780718581
28.5534356515866,249.830206087345
28.5819477034759,249.836460575446
28.5898454651904,249.858076870735
28.5980992093712,249.864997928045
28.5952111445267,249.858216656903
28.5982953861373,249.863763126824
28.610247441687,249.848728725308
28.5797163492452,249.843226845567
28.5893910597025,249.836457994009
