galaxy_clean,galaxy_dec,galaxy_g,galaxy_petromag_r,galaxy_petromag_u,galaxy_petror90_g,galaxy_petror90_r,galaxy_petrorad_u,galaxy_r,galaxy_ra,galaxytag_dec,galaxytag_ra,galaxytag_type,galspecextra_bptclass,galspecextra_sfr_fib_p50,galspecextra_sfr_tot_p50,galspecextra_sfr_tot_p84,galspecextra_specsfr_tot_p50,galspecindx_d4000_n,galspecline_h_alpha_eqw,galspecline_h_alpha_flux,galspecline_h_alpha_flux_err,galspecline_h_beta_eqw,galspecline_h_beta_flux,galspecline_h_beta_flux_err,galspecline_nii_6584_flux,galspecline_oi_6300_flux_err,galspecline_oiii_5007_eqw,galspecline_oiii_5007_flux,galspecline_sii_6717_flux,galspecline_sii_6731_flux_err,photoobj_b,photoobj_camcol,photoobj_clean,photoobj_cmodelmag_g,photoobj_dec,photoobj_devrad_g,photoobj_devrad_r,photoobj_fibermag_r,photoobj_field,photoobj_flags,photoobj_fracdev_r,photoobj_g,photoobj_l,photoobj_mode,photoobj_petromag_r,photoobj_petromag_z,photoobj_petror50_g,photoobj_petror50_r,photoobj_petrorad_g,photoobj_petrorad_r,photoobj_r,photoobj_ra,photoobj_run,photoobj_type,photoobj_u,photoobjall_camcol,photoobjall_clean,photoobjall_dec,photoobjall_dered_r,photoobjall_devrad_r,photoobjall_devraderr_r,photoobjall_exprad_r,photoobjall_field,photoobjall_fracdev_r,photoobjall_mode,photoobjall_petromag_r,photoobjall_ra,photoobjall_run,photoobjall_type,photoobjall_u,phototag_clean,phototag_dec,phototag_mode,phototag_nchild,phototag_psfmag_r,phototag_ra,phototag_type,photoz_absmagr,photoz_photoerrorclass,photoz_nncount,photoz_nnvol,photoz_z,photoz_zerr,specphoto_dec,specphoto_mode,specphoto_modelmag_r,specphoto_petromag_r,specphoto_petromag_z,specphoto_ra,specphoto_type,specphoto_z,specphoto_zwarning,sppparams_fehadop,stellarmassfspsgranearlydust_logmass,stellarmassfspsgranearlydust_z,zoospec_elliptical,zoospec_p_cs,zoospec_p_cs_debiased,zoospec_p_el,zoospec_p_el_debiased,zoospec_spiral,zoospec_uncertai
1,0.978909195873956,18.5386,17.81557,20.23021,3.798856,4.345478,5.582857,17.62712,187.790164486577,0.978909195873956,187.790164486577,3,2,-0.2958372,-0.2388446,0.3667898,-11.0792,1.517154,-7.258627,77.89574,2.501127,-1.309987,18.91203,2.177516,37.21133,3.577528,-0.6190858,6.73074,23.93243,2.105984,63.4016518937192,6,1,18.73756,0.978909195873956,1.581537,1.735786,18.81345,295,69592023624,0.6410963,18.5386,291.551411940513,1,17.81557,17.11009,1.564676,1.698304,3.193731,3.478062,17.62712,187.790164486577,752,3,20.28776,6,1,0.978909195873956,17.57339,1.735786,0.05845735,1.211131,295,0.6410963,1,17.81557,187.790164486577,752,3,20.28776,1,0.978909195873956,1,0,18.64425,187.790164486577,3,-20.7109,1,100,0.079644,0.101595,0.024907,0.97889094,1,17.62712,17.81557,17.11009,187.79016,3,0.1490574,0,-9999,11.0460345539822,0.1490574,0,0.234999999403954,0.643999993801117,0.705999970436096,0.228000000119209,0,1
1,-0.934487748500939,17.84906,17.25114,19.086,5.189794,5.504282,4.975776,17.22625,204.842106684024,-0.934487748500939,204.842106684024,3,2,-0.1819331,0.4869434,0.8030803,-10.01108,1.287606,-17.78645,134.2944,2.738574,-2.932295,27.96029,1.787061,53.33564,1.454303,-5.989816,3.470336,20.22251,1.484774,59.6599798888482,1,1,17.81875,-0.934487748500939,6.37235,6.236343,18.97416,595,35253360136208,0.0,17.84906,327.196833205539,1,17.25114,16.80353,2.719635,2.695365,5.457206,5.465849,17.22625,204.842106684024,756,3,19.14403,1,1,-0.934487748500939,17.16866,6.236343,0.2157082,2.764325,595,0.0,1,17.25114,204.842106684024,756,3,19.14403,1,-0.934487748500939,1,0,18.94532,204.842106684024,3,-20.9827,1,99,1.799056,0.091611,0.020573,-0.93443382,1,17.22625,17.25114,16.80353,204.8421,3,0.1132849,0,-9999,10.7244935781788,0.1132849,0,0.787999987602234,0.931999981403351,0.181999996304512,0.0329999998211861,1,0
1,0.474987851110113,17.77925,17.16006,18.73584,6.127727,5.978732,6.072041,17.19017,214.704334386995,0.474987851110113,214.704334386995,3,1,-0.6141649,-0.1081054,0.1183856,-9.852828,1.256511,-28.80201,300.2903,4.089368,-7.113955,73.24355,2.554968,114.0123,1.721605,-3.829897,39.54689,61.26256,2.109757,56.0816890052391,5,1,17.70641,0.474987851110113,5.569856,5.510382,18.70011,475,68987912704,0.2796108,17.77925,344.752395315121,1,17.16006,16.73703,2.795967,2.588101,5.964895,5.726024,17.19017,214.704334386995,752,3,18.8904,5,1,0.474987851110113,17.10343,5.510382,0.1237475,3.161067,475,0.2796108,1,17.16006,214.704334386995,752,3,18.8904,1,0.474987851110113,1,0,18.64449,214.704334386995,3,-21.2001,1,100,6.572536,0.094736,0.023429,0.47499848,1,17.19017,17.16006,16.73703,214.70432,3,0.05265518,0,-9999,10.0473063594818,0.05265518,0,0.71399998664856,0.896000027656555,0.256999999284744,0.0700000002980232,1,0
0,0.855807273256202,17.33185,16.42366,19.01844,8.007231,7.87822,10.34535,16.37227,215.067574490815,0.855807273256202,215.067574490815,3,2,-1.332371,-0.843507,0.04015661,-11.94556,1.807027,-1.19444,56.49155,8.755213,-0.4605934,13.02122,6.236382,5.605406,3.049447,-0.4885086,5.495771,1.097682,3.360953,56.1691623039794,6,0,17.30148,0.855807273256202,2.721431,2.586867,17.76264,478,35253360136280,1.0,17.33185,345.683438491951,1,16.42366,15.74736,2.573883,2.452871,5.966618,5.781172,16.37227,215.067574490815,752,3,19.53072,6,0,0.855807273256202,16.29003,2.586867,0.05148027,1.551805,478,1.0,1,16.42366,215.067574490815,752,3,19.53072,0,0.855807273256202,1,0,17.63717,215.067574490815,3,-21.7812,1,98,0.137206,0.087759,0.011472,0.85583816,1,16.37227,16.42366,15.74736,215.06758,3,0.1025995,0,-9999,11.2367252360341,0.1025995,0,0.096000000834465,0.202000007033348,0.884999990463257,0.776000022888184,0,1
1,0.976019114493194,18.7359,17.75259,20.06667,5.533849,5.152732,5.232587,17.79987,219.395426325354,0.976019114493194,219.395426325354,3,1,0.608281,0.7043355,0.9879519,-10.096,1.449862,-20.40953,188.86,4.488569,-5.694215,38.92598,3.528324,75.99435,2.02111,-2.144464,19.81517,27.31156,2.655272,53.5025561745678,6,1,18.54727,0.976019114493194,6.380078,4.84109,19.03431,507,68988047872,0.3266608,18.7359,351.61018594428,1,17.75259,16.9778,2.414703,2.095291,5.451069,4.745421,17.79987,219.395426325354,752,3,20.21914,6,1,0.976019114493194,17.70506,4.84109,0.178758,2.676297,507,0.3266608,1,17.75259,219.395426325354,752,3,20.21914,1,0.976019114493194,1,0,19.18597,219.395426325354,3,-21.4238,1,100,0.066953,0.133005,0.026495,0.97600828,1,17.79987,17.75259,16.9778,219.39543,3,0.1232844,0,-9999,11.1435397790411,0.1232844,0,0.89300000667572,0.989000022411346,0.10700000077486,0.0109999999403954,1,0
1,1.02364021287151,18.24144,17.06636,20.79703,8.482383,9.394238,5.434768,17.00078,189.438483201601,1.02364021287151,189.438483201601,3,-1,-1.178635,-0.7079448,0.09356539,-12.23553,1.91514,-0.7215513,3.920404,3.285594,-0.1048357,0.8491158,3.05857,13.48673,4.516447,-1.145332,18.94665,2.24737,6.2634,63.6895910704632,6,1,18.29267,1.02364021287151,3.359409,3.5516,18.56769,306,35253360136240,1.0,18.24144,295.195920224874,1,17.06636,16.13471,2.788708,2.92977,7.45395,6.95961,17.00078,189.438483201601,752,3,20.26694,6,1,1.02364021287151,16.95778,3.5516,0.08900383,1.881742,306,1.0,1,17.06636,189.438483201601,752,3,20.26694,1,1.02364021287151,1,0,18.47056,189.438483201601,3,-22.8082,1,100,0.00304,0.177144,0.008491,1.0235977,1,17.00078,17.06636,16.13471,189.43849,3,0.1938568,0,-9999,11.6541464289986,0.1938568,1,0.0199999995529652,0.0199999995529652,0.958999991416931,0.958999991416931,0,0
0,-1.00817664138413,16.92615,16.49694,17.89578,9.836837,9.383178,9.475477,16.49777,216.980742237539,-1.00817664138413,216.980742237539,3,1,-1.365352,-0.3246235,-0.07455341,-9.583461,1.251677,-20.22447,168.4933,2.602495,-4.688309,39.70446,2.03245,46.92748,1.3302,-2.877742,25.96108,36.21496,1.605825,53.5261074387512,1,0,16.86814,-1.00817664138413,15.34866,14.81307,18.92292,676,1161121054724184,0.02604385,16.92615,346.353298227624,1,16.49694,16.30589,4.47343,4.265529,8.81021,8.783147,16.49777,216.980742237539,756,3,17.95699,1,0,-1.00817664138413,16.40244,14.81307,0.3302148,5.28701,676,0.02604385,1,16.49694,216.980742237539,756,3,17.95699,0,-1.00817664138413,1,0,19.10754,216.980742237539,3,-18.5017,1,99,14.98735,0.021646,0.007826,-1.0081727,1,16.49777,16.49694,16.30589,216.98075,3,0.02946364,0,-9999,9.58006213433993,0.02946364,0,0.800000011920929,0.883000016212463,0.180000007152557,0.096000000834465,1,0
1,0.953749593402342,17.4678,16.70986,18.76241,4.6207,4.517465,4.751984,16.73306,232.581620245011,0.953749593402342,232.581620245011,3,3,-9999.0,-9999.0,-9999.0,-9999.0,1.539875,-6.242288,135.4371,3.800689,-1.606289,33.69351,2.742693,71.87082,2.434098,-2.307809,42.17949,26.31906,2.783565,43.7912116122789,6,1,17.35151,0.953749593402342,3.295997,2.911459,17.91418,595,68987912704,0.3716955,17.4678,5.20450108601656,1,16.70986,16.0399,2.062081,1.951454,4.340977,4.183962,16.73306,232.581620245011,752,3,18.95749,6,1,0.953749593402342,16.61423,2.911459,0.049979,1.894534,595,0.3716955,1,16.70986,232.581620245011,752,3,18.95749,1,0.953749593402342,1,0,17.99943,232.581620245011,3,-20.7702,1,99,1.030176,0.062151,0.021887,0.95374512,1,16.73306,16.70986,16.0399,232.58163,3,0.05030819,0,-9999,10.3886182990135,0.05030819,0,0.241999998688698,0.428999990224838,0.726999998092651,0.535000026226044,0,1
1,-0.875799443315552,14.54904,13.82422,16.31651,24.83428,24.20838,26.36517,13.69233,222.677322542798,-0.875799443315552,222.677322542798,3,4,-2.461237,-1.379603,-0.5735291,-12.3399,1.982838,-1.268825,127.6803,8.896859,-0.6039501,53.8074,6.709394,159.1937,6.978895,-0.7862169,64.32957,80.24757,7.747375,49.9161950271499,1,1,14.47773,-0.875799443315552,11.26365,10.09577,16.33461,714,35253360136208,0.9980059,14.54904,353.478112643961,1,13.82422,13.13682,8.561947,7.799755,19.81719,17.86053,13.69233,222.677322542798,756,3,16.43158,1,1,-0.875799443315552,13.58666,10.09577,0.04708962,7.033848,714,0.9980059,1,13.82422,222.677322542798,756,3,16.43158,1,-0.875799443315552,1,0,16.43821,222.677322542798,3,-21.8239,2,100,0.594824,0.027632,0.006917,-0.87581743,1,13.69233,13.82422,13.13682,222.67732,3,0.0265715,0,-9999,11.0488553527657,0.0265715,0,0.441000014543533,0.441000014543533,0.5,0.5,0,1
1,0.959658256335431,18.23701,17.73388,19.33762,2.824759,2.97516,2.659475,17.72682,197.446937632262,0.959658256335431,197.446937632262,3,1,-0.329728,-0.1774509,-0.03646846,-9.825413,1.25477,-43.50253,508.2324,5.484698,-10.02089,129.9239,3.128285,184.1109,1.679828,-1.995215,26.47497,77.98184,2.229847,63.4633839486491,6,1,18.24321,0.959658256335431,1.332579,1.389197,18.53895,360,193583034535952,0.0854199,18.23701,313.243042504068,1,17.73388,17.18616,1.363909,1.392595,2.651117,2.792778,17.72682,197.446937632262,752,3,19.27929,6,1,0.959658256335431,17.63981,1.389197,0.03747769,1.101165,360,0.0854199,1,17.73388,197.446937632262,752,3,19.27929,1,0.959658256335431,1,0,18.51835,197.446937632262,3,-20.5225,1,100,2.416872,0.092131,0.025738,0.9596453,1,17.72682,17.73388,17.18616,197.44694,3,0.05373454,0,-9999,9.85391897657914,0.05373454,0,0.146999999880791,0.20100000500679,0.764999985694885,0.708000004291534,0,1
